Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p06-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 10
n.adlt.fst_p06-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 11
n.adlt.fst_p06-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 12
n.adlt.fst_p06-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 13
n.adlt.fst_p06-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 14
n.adlt.fst_p06-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 15
n.adlt.fst_p06-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 16
n.adlt.fst_p06-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 17
n.adlt.fst_p06-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 18
n.adlt.fst_p06-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 19
n.adlt.fst_p06-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 20
n.adlt.fst_p06-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 21
n.adlt.fst_p06-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 22
n.adlt.fst_p06-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 23
n.adlt.fst_p06-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 6 and 24
n.adlt.fst_p07-08   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 8
n.adlt.fst_p07-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 9
n.adlt.fst_p07-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 10
n.adlt.fst_p07-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 11
n.adlt.fst_p07-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 12
n.adlt.fst_p07-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 13
n.adlt.fst_p07-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 14
n.adlt.fst_p07-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 15
n.adlt.fst_p07-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 16
n.adlt.fst_p07-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 17
n.adlt.fst_p07-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 18
n.adlt.fst_p07-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 19
n.adlt.fst_p07-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 20
n.adlt.fst_p07-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 21
n.adlt.fst_p07-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 22
n.adlt.fst_p07-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 23
n.adlt.fst_p07-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 7 and 24
n.adlt.fst_p08-09   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 9
n.adlt.fst_p08-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 10
n.adlt.fst_p08-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 11
n.adlt.fst_p08-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 12
n.adlt.fst_p08-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 13
n.adlt.fst_p08-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 14
n.adlt.fst_p08-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 15
n.adlt.fst_p08-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 16
n.adlt.fst_p08-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 17
n.adlt.fst_p08-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 18
n.adlt.fst_p08-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 19
n.adlt.fst_p08-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 20
n.adlt.fst_p08-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 21
n.adlt.fst_p08-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 22
n.adlt.fst_p08-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 23
n.adlt.fst_p08-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 8 and 24
n.adlt.fst_p09-10   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 10
n.adlt.fst_p09-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 11
n.adlt.fst_p09-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 12
n.adlt.fst_p09-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 13
n.adlt.fst_p09-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 14
n.adlt.fst_p09-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 15
n.adlt.fst_p09-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 16
n.adlt.fst_p09-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 17
n.adlt.fst_p09-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 18
n.adlt.fst_p09-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 19
n.adlt.fst_p09-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 20
n.adlt.fst_p09-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 21
n.adlt.fst_p09-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 22
n.adlt.fst_p09-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 23
n.adlt.fst_p09-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 9 and 24
n.adlt.fst_p10-11   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 11
n.adlt.fst_p10-12   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 12
n.adlt.fst_p10-13   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 13
n.adlt.fst_p10-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 10 and 14
