generation  	alive.rpl   	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
135         	1           	2919        	1.833       	2.012       	486         	476         	493         	490         	486         	488         
136         	1           	2921        	2.167       	2.021       	483         	486         	484         	486         	490         	492         
137         	1           	2907        	3.167       	2.04        	472         	491         	476         	493         	493         	482         
138         	1           	2909        	3.667       	2.014       	479         	491         	472         	490         	489         	488         
139         	1           	2902        	2.833       	2.012       	477         	493         	477         	491         	487         	477         
140         	1           	2916        	3           	2.039       	482         	495         	481         	492         	482         	484         
141         	1           	2936        	1.833       	2.008       	485         	493         	486         	495         	492         	485         
142         	1           	2931        	1.667       	2.01        	484         	495         	489         	486         	490         	487         
143         	1           	2905        	2.833       	2.031       	486         	478         	493         	479         	483         	486         
144         	1           	2907        	1.667       	2.026       	487         	482         	481         	487         	487         	483         
145         	1           	2913        	3.333       	2.014       	476         	484         	488         	489         	492         	484         
146         	1           	2908        	2.833       	2.026       	473         	481         	494         	491         	484         	485         
147         	1           	2919        	2           	2.05        	480         	487         	486         	491         	486         	489         
148         	1           	2904        	3           	2.011       	486         	490         	483         	483         	477         	485         
149         	1           	2897        	2.333       	1.966       	488         	495         	484         	472         	481         	477         
150         	1           	2889        	2           	2.056       	492         	493         	461         	475         	490         	478         
151         	1           	2908        	2.167       	2.018       	490         	491         	473         	484         	492         	478         
152         	1           	2911        	2.833       	1.996       	487         	495         	479         	481         	482         	487         
153         	1           	2910        	2.667       	1.986       	488         	490         	483         	486         	473         	490         
154         	1           	2911        	3.5         	2.052       	478         	489         	481         	490         	483         	490         
155         	1           	2897        	3.167       	2.004       	472         	489         	487         	493         	490         	466         
156         	1           	2907        	2.667       	2.003       	479         	483         	484         	491         	496         	474         
157         	1           	2898        	1.667       	2.014       	469         	485         	486         	488         	494         	476         
158         	1           	2906        	2.5         	2.014       	478         	484         	488         	479         	496         	481         
159         	1           	2921        	2           	2.055       	484         	488         	491         	484         	488         	486         
160         	1           	2915        	1.667       	1.984       	478         	489         	480         	488         	493         	487         
161         	1           	2900        	2.5         	1.983       	482         	491         	474         	483         	481         	489         
162         	1           	2919        	3.167       	2.016       	487         	486         	480         	494         	479         	493         
163         	1           	2905        	2.333       	1.993       	477         	477         	485         	482         	487         	497         
164         	1           	2911        	2.833       	2.019       	486         	470         	490         	485         	489         	491         
165         	1           	2913        	3.667       	2.054       	487         	483         	490         	480         	486         	487         
166         	1           	2906        	2.667       	2.01        	482         	474         	489         	484         	489         	488         
167         	1           	2902        	2.333       	1.991       	482         	475         	484         	489         	483         	489         
168         	1           	2884        	2           	2.093       	485         	486         	488         	482         	471         	472         
169         	1           	2905        	2.167       	2.026       	492         	490         	483         	480         	480         	480         
170         	1           	2876        	1.5         	2.01        	468         	484         	469         	486         	486         	483         
171         	1           	2899        	2.667       	1.999       	478         	487         	474         	490         	487         	483         
172         	1           	2888        	3.5         	2.005       	489         	467         	480         	486         	493         	473         
173         	1           	2913        	2.167       	2.021       	492         	477         	487         	489         	487         	481         
174         	1           	2929        	2.833       	2.029       	492         	480         	493         	487         	489         	488         
175         	1           	2924        	2.833       	1.973       	495         	483         	487         	488         	487         	484         
176         	1           	2911        	3.333       	2.037       	474         	491         	485         	492         	480         	489         
177         	1           	2905        	2.667       	2.064       	481         	484         	487         	478         	485         	490         
178         	1           	2901        	2.167       	2.027       	487         	490         	486         	486         	481         	471         
179         	1           	2909        	2.667       	2.003       	489         	492         	480         	489         	478         	481         
180         	1           	2933        	3.167       	2.015       	492         	495         	488         	494         	481         	483         
181         	1           	2918        	2.333       	2.057       	492         	492         	493         	475         	488         	478         
182         	1           	2930        	1.833       	2.021       	489         	493         	488         	484         	492         	484         
183         	1           	2924        	2.667       	2.016       	486         	485         	484         	488         	493         	488         
184         	1           	2929        	3.167       	1.969       	490         	490         	491         	476         	491         	491         
185         	1           	2894        	2.167       	1.995       	490         	470         	481         	478         	493         	482         
186         	1           	2900        	3           	2.02        	476         	477         	488         	483         	492         	484         
187         	1           	2916        	1.833       	1.99        	482         	485         	492         	489         	492         	476         
188         	1           	2896        	2.833       	2.048       	478         	492         	479         	492         	485         	470         
