replicate   	generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
1           	63          	1634        	2.25        	2.073       	484         	481         	489         	180         	0           	0           
1           	64          	1686        	2.2         	2.024       	478         	488         	490         	229         	1           	0           
1           	65          	1740        	1           	2.068       	484         	484         	494         	277         	1           	0           
1           	66          	1788        	1           	2.064       	492         	474         	497         	325         	0           	0           
1           	67          	1792        	3.4         	2.014       	481         	477         	466         	366         	2           	0           
1           	68          	1849        	1.4         	2.062       	484         	481         	478         	402         	4           	0           
1           	69          	1896        	0.6         	2.065       	490         	485         	484         	430         	7           	0           
1           	70          	1925        	2.8         	2.036       	490         	483         	492         	448         	12          	0           
1           	71          	1944        	1.8         	2.019       	493         	478         	490         	463         	20          	0           
1           	72          	1972        	3.4         	2.021       	490         	486         	494         	470         	32          	0           
1           	73          	1994        	1           	2.019       	485         	492         	490         	480         	47          	0           
1           	74          	2020        	3           	2.036       	488         	486         	494         	483         	69          	0           
1           	75          	2025        	1.333       	2.091       	484         	476         	483         	483         	98          	1           
1           	76          	2072        	2           	2.087       	490         	472         	488         	486         	136         	0           
1           	77          	2115        	1.667       	2.054       	480         	480         	488         	487         	179         	1           
1           	78          	2175        	3.2         	2.034       	481         	486         	494         	486         	228         	0           
1           	79          	2233        	2.667       	2.053       	481         	493         	491         	487         	278         	3           
1           	80          	2278        	2           	2.074       	487         	484         	487         	490         	326         	4           
1           	81          	2323        	0.8333      	2.054       	488         	491         	483         	485         	370         	6           
1           	82          	2365        	1           	2.096       	493         	485         	490         	482         	406         	9           
1           	83          	2376        	1.667       	2.007       	491         	476         	479         	482         	435         	13          
1           	84          	2420        	1.167       	1.998       	491         	486         	480         	489         	455         	19          
1           	85          	2447        	2.333       	2.079       	496         	487         	483         	484         	467         	30          
1           	86          	2478        	2           	2.042       	496         	487         	487         	486         	475         	47          
1           	87          	2498        	2.333       	2.034       	498         	485         	484         	485         	478         	68          
1           	88          	2542        	2.5         	2.035       	493         	493         	487         	489         	484         	96          
1           	89          	2562        	1.833       	1.999       	487         	493         	490         	483         	477         	132         
1           	90          	2597        	2.5         	2.054       	484         	491         	477         	485         	484         	176         
1           	91          	2649        	2.333       	2.096       	486         	479         	483         	488         	490         	223         
1           	92          	2700        	2           	2.04        	485         	479         	487         	490         	485         	274         
