replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
4           	4200        	24          	0.7644      	0.1615      	0.147       
4           	4300        	11          	0.7527      	0.1418      	0.07718     
4           	4400        	22          	0.779       	0.1749      	0.1162      
4           	4500        	18          	0.7558      	0.2053      	0.07135     
4           	4600        	20          	0.7282      	0.2337      	0.06127     
4           	4700        	16          	0.7237      	0.1921      	0.07741     
4           	4800        	23          	0.7173      	0.1635      	0.09539     
4           	4900        	25          	0.7281      	0.1547      	0.1016      
4           	5000        	18          	0.729       	0.1936      	0.07657     
5           	1           	152         	0.9865      	-0.008466   	7.738       
5           	100         	58          	0.9665      	0.07132     	1.653       
5           	200         	44          	0.9482      	0.1093      	0.968       
5           	300         	34          	0.937       	0.05181     	0.6723      
5           	400         	33          	0.923       	0.04988     	0.5701      
5           	500         	32          	0.9135      	0.007663    	0.5172      
5           	600         	26          	0.9071      	-0.04449    	0.4181      
5           	700         	25          	0.895       	-0.01528    	0.4307      
5           	800         	31          	0.8858      	0.01855     	0.3467      
5           	900         	28          	0.8852      	-0.06118    	0.3124      
5           	1000        	21          	0.8696      	-0.01735    	0.2346      
5           	1100        	22          	0.8754      	0.02025     	0.2528      
5           	1200        	22          	0.8684      	-0.01082    	0.2583      
5           	1300        	24          	0.8648      	-0.06778    	0.2448      
5           	1400        	23          	0.8483      	-0.1108     	0.2282      
5           	1500        	24          	0.8359      	-0.0874     	0.2297      
5           	1600        	21          	0.8277      	-0.1714     	0.1966      
5           	1700        	24          	0.8397      	-0.0442     	0.2394      
5           	1800        	21          	0.8384      	-0.004857   	0.1926      
5           	1900        	19          	0.8466      	0.06045     	0.1857      
5           	2000        	20          	0.8311      	0.004885    	0.178       
5           	2100        	26          	0.8422      	-0.03062    	0.2122      
5           	2200        	20          	0.8522      	-0.03912    	0.1648      
5           	2300        	17          	0.87        	0.003997    	0.1777      
5           	2400        	22          	0.8705      	-0.0133     	0.198       
5           	2500        	19          	0.8553      	-0.01063    	0.1783      
5           	2600        	24          	0.8475      	0.0005764   	0.1793      
5           	2700        	22          	0.8292      	-0.01885    	0.1646      
5           	2800        	21          	0.8194      	-0.03386    	0.16        
5           	2900        	25          	0.8129      	-0.006321   	0.1685      
5           	3000        	24          	0.7929      	-0.01376    	0.1396      
5           	3100        	20          	0.7701      	-0.01444    	0.1341      
5           	3200        	23          	0.7571      	-0.03692    	0.1244      
5           	3300        	22          	0.7485      	-0.01309    	0.1398      
5           	3400        	24          	0.7677      	0.01222     	0.1355      
5           	3500        	24          	0.7739      	-0.1133     	0.1423      
5           	3600        	22          	0.741       	-0.1045     	0.1369      
5           	3700        	21          	0.7153      	-0.1238     	0.1178      
5           	3800        	14          	0.7021      	-0.105      	0.08507     
5           	3900        	24          	0.7035      	-0.08957    	0.1175      
5           	4000        	18          	0.704       	-0.09786    	0.1018      
5           	4100        	21          	0.6837      	-0.06287    	0.1109      
5           	4200        	19          	0.6833      	-0.02424    	0.109       
5           	4300        	21          	0.6971      	0.0006803   	0.119       
5           	4400        	17          	0.6548      	-0.03237    	0.07811     
5           	4500        	17          	0.6169      	-0.03723    	0.07534     
5           	4600        	16          	0.6105      	-0.02364    	0.07733     
5           	4700        	22          	0.5948      	-0.02712    	0.08695     
5           	4800        	21          	0.6087      	-0.05356    	0.08232     
5           	4900        	17          	0.6271      	-0.08427    	0.07258     
