generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2	alive.rpl   
156         	10          	0.002921    	0.003505    	0.002323    	1           
157         	10          	0.002927    	0.003439    	0.002402    	1           
158         	10          	0.002746    	0.00318     	0.002301    	1           
159         	10          	0.00305     	0.003536    	0.00255     	1           
160         	10          	0.003439    	0.003778    	0.00309     	1           
161         	10          	0.003303    	0.003768    	0.002825    	1           
162         	10          	0.003277    	0.003404    	0.003147    	1           
163         	10          	0.003249    	0.003611    	0.002876    	1           
164         	10          	0.00335     	0.003784    	0.002904    	1           
165         	10          	0.003127    	0.003125    	0.003129    	1           
166         	10          	0.002985    	0.003019    	0.00295     	1           
167         	10          	0.00306     	0.003201    	0.002914    	1           
168         	10          	0.003096    	0.0037      	0.002475    	1           
169         	10          	0.003166    	0.003599    	0.002721    	1           
170         	10          	0.002841    	0.003435    	0.002231    	1           
171         	10          	0.002993    	0.003794    	0.002171    	1           
172         	10          	0.003084    	0.003746    	0.002405    	1           
173         	10          	0.003247    	0.003866    	0.002612    	1           
174         	10          	0.003335    	0.003987    	0.002665    	1           
175         	10          	0.003493    	0.004052    	0.002919    	1           
176         	10          	0.003835    	0.004195    	0.003466    	1           
177         	10          	0.003844    	0.003689    	0.004003    	1           
178         	10          	0.003789    	0.003514    	0.004073    	1           
179         	10          	0.003302    	0.002815    	0.003803    	1           
180         	10          	0.003016    	0.002662    	0.003379    	1           
181         	10          	0.003051    	0.002924    	0.00318     	1           
182         	10          	0.003201    	0.003054    	0.003351    	1           
183         	10          	0.003123    	0.003126    	0.003119    	1           
184         	10          	0.003076    	0.002721    	0.00344     	1           
185         	10          	0.00271     	0.002431    	0.002995    	1           
186         	10          	0.002928    	0.00283     	0.003029    	1           
187         	10          	0.00267     	0.002706    	0.002633    	1           
188         	10          	0.003233    	0.003445    	0.003016    	1           
189         	10          	0.003027    	0.00358     	0.002463    	1           
190         	10          	0.003397    	0.00364     	0.003149    	1           
191         	10          	0.003432    	0.003678    	0.003181    	1           
192         	10          	0.003463    	0.003742    	0.003178    	1           
193         	10          	0.003459    	0.003886    	0.003023    	1           
194         	10          	0.003565    	0.004096    	0.003024    	1           
195         	10          	0.003498    	0.003841    	0.003148    	1           
196         	10          	0.003592    	0.003839    	0.00334     	1           
197         	10          	0.003433    	0.003793    	0.003068    	1           
198         	10          	0.003307    	0.003851    	0.002755    	1           
199         	10          	0.003452    	0.003859    	0.003039    	1           
200         	10          	0.003219    	0.003839    	0.002591    	1           
201         	10          	0.003049    	0.003774    	0.002314    	1           
202         	10          	0.003422    	0.00431     	0.002521    	1           
203         	10          	0.003604    	0.00428     	0.002919    	1           
204         	10          	0.003516    	0.003935    	0.003092    	1           
205         	10          	0.003637    	0.003896    	0.003374    	1           
206         	10          	0.003694    	0.003856    	0.00353     	1           
207         	10          	0.003957    	0.004375    	0.003532    	1           
208         	10          	0.003893    	0.00468     	0.003096    	1           
209         	10          	0.003792    	0.004601    	0.002971    	1           
210         	10          	0.003574    	0.004107    	0.003033    	1           
211         	10          	0.003755    	0.004706    	0.00279     	1           
212         	10          	0.003379    	0.004224    	0.002521    	1           
213         	10          	0.003543    	0.004339    	0.002735    	1           
214         	10          	0.00356     	0.004403    	0.002704    	1           
215         	10          	0.003445    	0.003899    	0.002983    	1           
216         	10          	0.003577    	0.004278    	0.002864    	1           
217         	10          	0.003793    	0.004568    	0.003003    	1           
218         	10          	0.003837    	0.00472     	0.002937    	1           
219         	10          	0.004144    	0.005234    	0.003034    	1           
220         	10          	0.004028    	0.004991    	0.003048    	1           
221         	10          	0.004008    	0.004714    	0.003287    	1           
222         	10          	0.004107    	0.005366    	0.002822    	1           
223         	10          	0.003902    	0.005314    	0.002462    	1           
224         	10          	0.004012    	0.005368    	0.00263     	1           
225         	10          	0.003884    	0.005002    	0.002745    	1           
226         	10          	0.003585    	0.004436    	0.002719    	1           
227         	10          	0.003584    	0.004272    	0.002885    	1           
228         	10          	0.003736    	0.004696    	0.002763    	1           
229         	10          	0.003795    	0.004915    	0.00266     	1           
230         	10          	0.003907    	0.005098    	0.002699    	1           
231         	10          	0.004104    	0.00545     	0.002737    	1           
232         	10          	0.004233    	0.005483    	0.002964    	1           
233         	10          	0.00415     	0.004929    	0.00336     	1           
234         	10          	0.004225    	0.004738    	0.003706    	1           
235         	10          	0.004194    	0.005099    	0.003277    	1           
236         	10          	0.004323    	0.005031    	0.003604    	1           
237         	10          	0.004176    	0.004991    	0.003349    	1           
238         	10          	0.003921    	0.004157    	0.003682    	1           
239         	10          	0.004033    	0.003946    	0.004121    	1           
240         	10          	0.004183    	0.004037    	0.004331    	1           
241         	10          	0.004486    	0.004338    	0.004636    	1           
242         	10          	0.004228    	0.004305    	0.004149    	1           
243         	10          	0.004633    	0.004659    	0.004606    	1           
244         	10          	0.004154    	0.0043      	0.004005    	1           
245         	10          	0.003956    	0.004       	0.003911    	1           
246         	10          	0.003935    	0.003953    	0.003917    	1           
247         	10          	0.004319    	0.004402    	0.004234    	1           
248         	10          	0.004157    	0.004894    	0.003405    	1           
249         	10          	0.004252    	0.005024    	0.003466    	1           
250         	10          	0.003913    	0.004912    	0.002895    	1           
251         	10          	0.004119    	0.004934    	0.003287    	1           
252         	10          	0.004353    	0.005332    	0.003355    	1           
253         	10          	0.004692    	0.005498    	0.00387     	1           
254         	10          	0.004445    	0.004841    	0.004041    	1           
255         	10          	0.004566    	0.00474     	0.004388    	1           
256         	10          	0.005006    	0.005188    	0.004819    	1           
257         	10          	0.005127    	0.005095    	0.00516     	1           
258         	10          	0.004581    	0.005138    	0.004013    	1           
259         	10          	0.004576    	0.005201    	0.003938    	1           
260         	10          	0.004209    	0.004972    	0.003431    	1           
261         	10          	0.004147    	0.005095    	0.00318     	1           
262         	10          	0.004146    	0.005275    	0.002994    	1           
263         	10          	0.003923    	0.004779    	0.00305     	1           
264         	10          	0.003726    	0.004375    	0.003065    	1           
265         	10          	0.003606    	0.004263    	0.002935    	1           
266         	10          	0.003668    	0.004212    	0.003114    	1           
267         	10          	0.003771    	0.00427     	0.003261    	1           
268         	10          	0.003507    	0.003951    	0.003053    	1           
269         	10          	0.003537    	0.003954    	0.003111    	1           
270         	10          	0.003395    	0.003987    	0.002789    	1           
271         	10          	0.003712    	0.004305    	0.003107    	1           
272         	10          	0.003734    	0.004141    	0.003318    	1           
273         	10          	0.004257    	0.00448     	0.004028    	1           
274         	10          	0.004022    	0.004205    	0.003835    	1           
275         	10          	0.003478    	0.00371     	0.003241    	1           
276         	10          	0.003903    	0.003938    	0.003866    	1           
277         	10          	0.003845    	0.003978    	0.003709    	1           
278         	10          	0.003528    	0.003652    	0.0034      	1           
279         	10          	0.003272    	0.003558    	0.002977    	1           
280         	10          	0.003609    	0.003934    	0.003275    	1           
281         	10          	0.003372    	0.003638    	0.003097    	1           
282         	10          	0.00326     	0.003265    	0.003255    	1           
283         	10          	0.003476    	0.003611    	0.003336    	1           
284         	10          	0.003431    	0.003864    	0.002985    	1           
285         	10          	0.003375    	0.003786    	0.002951    	1           
286         	10          	0.003311    	0.003216    	0.003409    	1           
287         	10          	0.003228    	0.00338     	0.003071    	1           
288         	10          	0.003109    	0.002929    	0.003295    	1           
289         	10          	0.003416    	0.002839    	0.004014    	1           
290         	10          	0.003038    	0.002837    	0.003246    	1           
291         	10          	0.003618    	0.00305     	0.004207    	1           
292         	10          	0.00335     	0.003028    	0.003685    	1           
293         	10          	0.003573    	0.002873    	0.004298    	1           
294         	10          	0.003531    	0.003241    	0.003831    	1           
295         	10          	0.00361     	0.003489    	0.003736    	1           
296         	10          	0.003464    	0.003398    	0.003533    	1           
297         	10          	0.002986    	0.002943    	0.003032    	1           
298         	10          	0.003258    	0.002786    	0.003746    	1           
299         	10          	0.003711    	0.003392    	0.004041    	1           
300         	10          	0.004022    	0.003689    	0.004368    	1           
301         	10          	0.003833    	0.003517    	0.004161    	1           
302         	10          	0.003701    	0.003371    	0.004041    	1           
303         	10          	0.003989    	0.004134    	0.003839    	1           
304         	10          	0.003866    	0.004184    	0.003537    	1           
305         	10          	0.003543    	0.003744    	0.003336    	1           
306         	10          	0.003719    	0.004154    	0.003273    	1           
307         	10          	0.003764    	0.004094    	0.003425    	1           
308         	10          	0.004193    	0.004712    	0.00366     	1           
309         	10          	0.00411     	0.004536    	0.003673    	1           
310         	10          	0.003691    	0.004045    	0.003329    	1           
311         	10          	0.003407    	0.003469    	0.003343    	1           
312         	10          	0.003313    	0.003315    	0.003312    	1           
313         	10          	0.002978    	0.003051    	0.002904    	1           
314         	10          	0.003101    	0.002736    	0.003475    	1           
315         	10          	0.003146    	0.003043    	0.003253    	1           
316         	10          	0.003104    	0.003364    	0.002837    	1           
317         	10          	0.003368    	0.00346     	0.003272    	1           
318         	10          	0.003452    	0.003447    	0.003457    	1           
319         	10          	0.004205    	0.003422    	0.00501     	1           
320         	10          	0.004404    	0.003184    	0.005662    	1           
321         	10          	0.004636    	0.003761    	0.005538    	1           
322         	10          	0.004611    	0.003632    	0.00562     	1           
323         	10          	0.004645    	0.003573    	0.005749    	1           
324         	10          	0.004253    	0.003562    	0.004965    	1           
325         	10          	0.004588    	0.004216    	0.004972    	1           
326         	10          	0.004528    	0.003811    	0.005267    	1           
327         	10          	0.0048      	0.004221    	0.005395    	1           
328         	10          	0.00484     	0.004065    	0.005637    	1           
329         	10          	0.004505    	0.003818    	0.005213    	1           
330         	10          	0.004312    	0.00394     	0.004695    	1           
331         	10          	0.004162    	0.003614    	0.004726    	1           
332         	10          	0.00409     	0.004202    	0.003975    	1           
333         	10          	0.003885    	0.004089    	0.003674    	1           
334         	10          	0.003977    	0.004149    	0.003799    	1           
335         	10          	0.00349     	0.003694    	0.00328     	1           
336         	10          	0.003599    	0.003716    	0.003477    	1           
337         	10          	0.003402    	0.00346     	0.003342    	1           
338         	10          	0.003097    	0.003054    	0.003142    	1           
339         	10          	0.003038    	0.002695    	0.003391    	1           
340         	10          	0.00318     	0.002976    	0.003391    	1           
341         	10          	0.003486    	0.003813    	0.003149    	1           
342         	10          	0.00335     	0.00364     	0.003051    	1           
343         	10          	0.003559    	0.003981    	0.003124    	1           
344         	10          	0.00363     	0.003922    	0.00333     	1           
345         	10          	0.003242    	0.003629    	0.002843    	1           
346         	10          	0.003498    	0.003697    	0.003292    	1           
347         	10          	0.003696    	0.003651    	0.003743    	1           
348         	10          	0.003813    	0.003737    	0.00389     	1           
349         	10          	0.003598    	0.003428    	0.003775    	1           
350         	10          	0.003982    	0.004112    	0.003847    	1           
351         	10          	0.003967    	0.004471    	0.003446    	1           
352         	10          	0.003837    	0.00443     	0.003226    	1           
353         	10          	0.003419    	0.003964    	0.002856    	1           
354         	10          	0.003567    	0.00411     	0.003008    	1           
355         	10          	0.003435    	0.003935    	0.002919    	1           
356         	10          	0.003427    	0.003723    	0.003122    	1           
357         	10          	0.003389    	0.00373     	0.003038    	1           
358         	10          	0.003077    	0.00368     	0.002456    	1           
359         	10          	0.003258    	0.003783    	0.002717    	1           
360         	10          	0.003317    	0.003699    	0.002925    	1           
361         	10          	0.003822    	0.004633    	0.002988    	1           
362         	10          	0.003295    	0.004071    	0.002496    	1           
363         	10          	0.003489    	0.004348    	0.002605    	1           
364         	10          	0.003556    	0.004636    	0.002445    	1           
365         	10          	0.003863    	0.004727    	0.002973    	1           
366         	10          	0.003767    	0.004163    	0.003361    	1           
367         	10          	0.003718    	0.004099    	0.003327    	1           
368         	10          	0.003633    	0.004376    	0.00287     	1           
369         	10          	0.003507    	0.004105    	0.002891    	1           
370         	10          	0.003649    	0.004213    	0.00307     	1           
371         	10          	0.004034    	0.004605    	0.003448    	1           
372         	10          	0.004439    	0.005203    	0.003655    	1           
373         	10          	0.004243    	0.004975    	0.003492    	1           
374         	10          	0.004047    	0.004552    	0.003527    	1           
375         	10          	0.004924    	0.005346    	0.00449     	1           
376         	10          	0.004982    	0.005368    	0.004586    	1           
377         	10          	0.004778    	0.005046    	0.004501    	1           
378         	10          	0.005002    	0.005328    	0.004665    	1           
379         	10          	0.005459    	0.006142    	0.004756    	1           
380         	10          	0.005322    	0.005889    	0.004738    	1           
381         	10          	0.0052      	0.005336    	0.005061    	1           
382         	10          	0.004673    	0.00447     	0.004882    	1           
383         	10          	0.004697    	0.004402    	0.005001    	1           
384         	10          	0.004747    	0.004648    	0.004848    	1           
385         	10          	0.004298    	0.004162    	0.004438    	1           
386         	10          	0.004146    	0.004325    	0.003963    	1           
387         	10          	0.003993    	0.004521    	0.00345     	1           
388         	10          	0.003936    	0.004262    	0.003601    	1           
389         	10          	0.003465    	0.003392    	0.00354     	1           
390         	10          	0.003792    	0.003629    	0.00396     	1           
391         	10          	0.003892    	0.003429    	0.004368    	1           
392         	10          	0.00406     	0.003541    	0.004595    	1           
393         	10          	0.004304    	0.003769    	0.004855    	1           
394         	10          	0.004041    	0.003263    	0.004841    	1           
395         	10          	0.003913    	0.003146    	0.004703    	1           
396         	10          	0.004051    	0.003253    	0.004874    	1           
397         	10          	0.003922    	0.002965    	0.004905    	1           
398         	10          	0.003619    	0.002748    	0.004517    	1           
399         	10          	0.003858    	0.003122    	0.004617    	1           
400         	10          	0.004117    	0.003379    	0.004879    	1           
401         	10          	0.004483    	0.003789    	0.0052      	1           
402         	10          	0.00461     	0.004036    	0.005204    	1           
403         	10          	0.004465    	0.004079    	0.004865    	1           
404         	10          	0.00445     	0.004013    	0.004903    	1           
405         	10          	0.004408    	0.00417     	0.004654    	1           
406         	10          	0.004127    	0.004239    	0.004011    	1           
407         	10          	0.004439    	0.004954    	0.003905    	1           
408         	10          	0.004815    	0.005539    	0.004066    	1           
409         	10          	0.00495     	0.005811    	0.00406     	1           
410         	10          	0.004829    	0.005175    	0.004472    	1           
411         	10          	0.004695    	0.005131    	0.004243    	1           
412         	10          	0.004187    	0.004875    	0.003475    	1           
413         	10          	0.004229    	0.004694    	0.003748    	1           
414         	10          	0.003816    	0.004532    	0.003074    	1           
415         	10          	0.003517    	0.003941    	0.003078    	1           
416         	10          	0.003534    	0.003493    	0.003576    	1           
417         	10          	0.004048    	0.004       	0.004099    	1           
418         	10          	0.004136    	0.003803    	0.004479    	1           
419         	10          	0.003967    	0.003795    	0.004145    	1           
420         	10          	0.004183    	0.004438    	0.00392     	1           
421         	10          	0.003678    	0.004309    	0.003027    	1           
422         	10          	0.003643    	0.003812    	0.003469    	1           
423         	10          	0.003558    	0.003813    	0.003296    	1           
424         	10          	0.003289    	0.003522    	0.003049    	1           
425         	10          	0.003817    	0.004057    	0.00357     	1           
426         	10          	0.003534    	0.003571    	0.003496    	1           
427         	10          	0.003718    	0.003802    	0.003632    	1           
428         	10          	0.003934    	0.003858    	0.004011    	1           
429         	10          	0.00378     	0.003572    	0.003995    	1           
430         	10          	0.003761    	0.003566    	0.003961    	1           
431         	10          	0.003791    	0.003884    	0.003695    	1           
432         	10          	0.003708    	0.003641    	0.003776    	1           
433         	10          	0.003607    	0.003396    	0.003823    	1           
434         	10          	0.003286    	0.003349    	0.003222    	1           
435         	10          	0.003158    	0.003194    	0.00312     	1           
436         	10          	0.003147    	0.002939    	0.00336     	1           
437         	10          	0.003337    	0.00341     	0.003262    	1           
438         	10          	0.003027    	0.002816    	0.003243    	1           
439         	10          	0.003125    	0.003061    	0.00319     	1           
440         	10          	0.003405    	0.003401    	0.00341     	1           
441         	10          	0.003685    	0.004056    	0.003305    	1           
442         	10          	0.003536    	0.003702    	0.003367    	1           
443         	10          	0.003418    	0.004054    	0.002769    	1           
444         	10          	0.003276    	0.003948    	0.002589    	1           
445         	10          	0.003005    	0.003652    	0.002344    	1           
446         	10          	0.002957    	0.003715    	0.00218     	1           
447         	10          	0.003181    	0.003857    	0.00249     	1           
448         	10          	0.003412    	0.00404     	0.002769    	1           
449         	10          	0.003664    	0.004512    	0.002796    	1           
450         	10          	0.003282    	0.003742    	0.002813    	1           
451         	10          	0.003188    	0.00351     	0.002859    	1           
452         	10          	0.003742    	0.003956    	0.003523    	1           
453         	10          	0.004211    	0.004475    	0.003941    	1           
454         	10          	0.004072    	0.004437    	0.0037      	1           
455         	10          	0.004393    	0.004359    	0.004428    	1           
456         	10          	0.003981    	0.00408     	0.003879    	1           
457         	10          	0.004028    	0.004086    	0.003968    	1           
458         	10          	0.004051    	0.003773    	0.004334    	1           
459         	10          	0.004215    	0.004161    	0.004269    	1           
460         	10          	0.004224    	0.003784    	0.004673    	1           
