generation  	adlt.nbInd  	emigrants   	fem.meanFec 	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
172         	2879        	2.833       	2.003       	490         	478         	480         	487         	482         	462         	1           
173         	2904        	2.167       	2.05        	485         	484         	487         	491         	484         	473         	1           
174         	2900        	2.333       	2.017       	469         	482         	490         	492         	487         	480         	1           
175         	2889        	2.5         	1.97        	475         	486         	473         	487         	485         	483         	1           
176         	2898        	2.5         	2.038       	481         	485         	478         	476         	488         	490         	1           
177         	2884        	2.167       	2.075       	489         	482         	470         	479         	474         	490         	1           
178         	2904        	2.833       	2.076       	484         	488         	477         	489         	471         	495         	1           
179         	2897        	4.167       	2.008       	485         	472         	484         	495         	476         	485         	1           
180         	2912        	3           	1.989       	485         	483         	487         	498         	484         	475         	1           
181         	2886        	2.333       	2.031       	488         	467         	476         	487         	489         	479         	1           
182         	2888        	3.333       	2.048       	466         	479         	481         	484         	494         	484         	1           
183         	2865        	3.167       	2.029       	472         	486         	473         	472         	479         	483         	1           
184         	2900        	2.833       	2.033       	476         	491         	483         	477         	484         	489         	1           
185         	2914        	2           	2.059       	482         	484         	492         	483         	483         	490         	1           
186         	2918        	2.333       	2.016       	480         	490         	493         	478         	488         	489         	1           
187         	2907        	2.833       	2.05        	485         	494         	481         	479         	491         	477         	1           
188         	2883        	2.333       	2.047       	477         	477         	486         	489         	472         	482         	1           
189         	2890        	2.667       	1.978       	482         	485         	484         	493         	479         	467         	1           
190         	2903        	1.333       	2.06        	488         	485         	489         	493         	470         	478         	1           
191         	2922        	2.167       	2.032       	489         	489         	487         	494         	482         	481         	1           
192         	2926        	2.5         	2.01        	492         	482         	488         	492         	488         	484         	1           
193         	2927        	2           	2.024       	494         	473         	490         	497         	491         	482         	1           
194         	2934        	2.167       	2.021       	486         	483         	487         	499         	492         	487         	1           
195         	2901        	2.333       	2.057       	487         	489         	475         	484         	495         	471         	1           
196         	2918        	2.5         	2.04        	490         	491         	479         	485         	496         	477         	1           
197         	2909        	1.833       	2.015       	474         	490         	486         	481         	494         	484         	1           
198         	2919        	3.5         	2.012       	477         	493         	485         	482         	493         	489         	1           
199         	2919        	3.333       	2.004       	480         	483         	492         	478         	494         	492         	1           
200         	2922        	1.667       	2.034       	485         	488         	485         	478         	493         	493         	1           
