generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
198         	1           	10          	0.09946     	0.1636      	0.03453     
199         	1           	10          	0.09812     	0.1624      	0.03298     
200         	1           	10          	0.09698     	0.1606      	0.03255     
201         	1           	10          	0.09612     	0.1595      	0.03196     
202         	1           	10          	0.09514     	0.1577      	0.03187     
203         	1           	10          	0.09586     	0.1592      	0.03168     
204         	1           	10          	0.09791     	0.1634      	0.03152     
205         	1           	10          	0.09697     	0.1606      	0.03244     
206         	1           	10          	0.09605     	0.1594      	0.03187     
207         	1           	10          	0.09737     	0.1607      	0.03323     
208         	1           	10          	0.09686     	0.1577      	0.03524     
209         	1           	10          	0.09516     	0.1547      	0.03497     
210         	1           	10          	0.09367     	0.1508      	0.03596     
211         	1           	10          	0.09638     	0.1538      	0.03837     
212         	1           	10          	0.09525     	0.1518      	0.03807     
213         	1           	10          	0.09455     	0.1513      	0.03724     
214         	1           	10          	0.09331     	0.1469      	0.03911     
215         	1           	10          	0.09134     	0.144       	0.03813     
216         	1           	10          	0.08971     	0.1412      	0.03758     
217         	1           	10          	0.09088     	0.1448      	0.03629     
218         	1           	10          	0.089       	0.1414      	0.03602     
219         	1           	10          	0.08685     	0.1373      	0.03587     
220         	1           	10          	0.08891     	0.1409      	0.03628     
221         	1           	10          	0.08974     	0.1422      	0.03659     
222         	1           	10          	0.08722     	0.1384      	0.03536     
223         	1           	10          	0.08706     	0.1388      	0.03456     
224         	1           	10          	0.08576     	0.1364      	0.03439     
225         	1           	10          	0.08398     	0.1315      	0.03582     
226         	1           	10          	0.08442     	0.1329      	0.03537     
227         	1           	10          	0.08212     	0.1268      	0.03692     
228         	1           	10          	0.0812      	0.1243      	0.03762     
229         	1           	10          	0.07825     	0.1183      	0.03778     
230         	1           	10          	0.07757     	0.1177      	0.03693     
231         	1           	10          	0.0771      	0.1176      	0.03599     
232         	1           	10          	0.07522     	0.1144      	0.03549     
233         	1           	10          	0.0734      	0.111       	0.0353      
234         	1           	10          	0.0741      	0.1121      	0.03561     
235         	1           	10          	0.07517     	0.114       	0.03585     
236         	1           	10          	0.07276     	0.1106      	0.0345      
237         	1           	10          	0.07162     	0.1091      	0.03365     
238         	1           	10          	0.06943     	0.1049      	0.03352     
239         	1           	10          	0.068       	0.1032      	0.03231     
240         	1           	10          	0.06698     	0.1023      	0.03123     
241         	1           	10          	0.06634     	0.1016      	0.03059     
242         	1           	10          	0.06865     	0.1053      	0.03159     
243         	1           	10          	0.06614     	0.1011      	0.03082     
244         	1           	10          	0.06708     	0.1021      	0.03161     
245         	1           	10          	0.06649     	0.1005      	0.03208     
246         	1           	10          	0.06509     	0.09744     	0.0324      
247         	1           	9.95        	0.06482     	0.09807     	0.03123     
248         	1           	9.95        	0.06479     	0.09888     	0.03031     
249         	1           	10          	0.06234     	0.09436     	0.02998     
250         	1           	10          	0.06141     	0.09277     	0.02967     
251         	1           	10          	0.06117     	0.09153     	0.03046     
252         	1           	10          	0.06089     	0.09141     	0.02998     
253         	1           	10          	0.06023     	0.08908     	0.03101     
254         	1           	10          	0.06151     	0.09044     	0.03225     
255         	1           	9.95        	0.0603      	0.08814     	0.03215     
256         	1           	10          	0.05781     	0.08414     	0.03117     
257         	1           	10          	0.05804     	0.08417     	0.03157     
258         	1           	10          	0.05638     	0.08197     	0.03042     
259         	1           	10          	0.05623     	0.08275     	0.02931     
260         	1           	10          	0.05514     	0.08124     	0.02864     
261         	1           	10          	0.05631     	0.0827      	0.02952     
262         	1           	10          	0.05567     	0.08122     	0.02971     
263         	1           	10          	0.05571     	0.08097     	0.03005     
264         	1           	10          	0.05907     	0.08522     	0.0325      
265         	1           	10          	0.05868     	0.08337     	0.03356     
266         	1           	10          	0.05786     	0.08088     	0.03447     
267         	1           	9.95        	0.05698     	0.08118     	0.03235     
268         	1           	9.95        	0.05716     	0.08251     	0.03132     
269         	1           	10          	0.05659     	0.08326     	0.0294      
270         	1           	10          	0.05698     	0.08236     	0.03111     
271         	1           	10          	0.05694     	0.08252     	0.03088     
272         	1           	10          	0.05668     	0.08166     	0.0312      
273         	1           	10          	0.05671     	0.08181     	0.03113     
274         	1           	10          	0.0572      	0.08287     	0.03105     
275         	1           	10          	0.05625     	0.08051     	0.03155     
276         	1           	10          	0.05738     	0.08083     	0.03353     
277         	1           	10          	0.05807     	0.08104     	0.0347      
278         	1           	10          	0.05846     	0.08209     	0.03441     
279         	1           	10          	0.05928     	0.08185     	0.03633     
