generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
88          	18          	0.534       	1.411e+05   	0.4827      	5.403e+04   	4.107e+04   	2.297e+04   	2.256e+04   	2.417e+04   	2.31e+04    
89          	18          	0.6173      	1.431e+05   	0.421       	5.418e+04   	4.036e+04   	2.228e+04   	2.21e+04    	2.071e+04   	2.294e+04   
90          	18          	0.7284      	1.86e+05    	0.2759      	5.093e+04   	3.957e+04   	2.17e+04    	2.132e+04   	1.779e+04   	3.224e+04   
91          	18          	0.5432      	1.87e+05    	0.421       	5.038e+04   	4.545e+04   	2.059e+04   	2.011e+04   	1.588e+04   	3.203e+04   
92          	18          	0.608       	1.636e+05   	0.277       	4.532e+04   	4.501e+04   	1.944e+04   	1.864e+04   	1.424e+04   	3.124e+04   
93          	18          	0.7284      	1.65e+05    	0.3128      	4.592e+04   	4.506e+04   	1.813e+04   	1.701e+04   	1.325e+04   	3.038e+04   
94          	18          	0.6944      	1.913e+05   	0.3004      	4.643e+04   	4.486e+04   	1.685e+04   	2.45e+04    	1.261e+04   	2.868e+04   
95          	18          	0.7654      	2.17e+05    	0.5006      	4.575e+04   	4.436e+04   	2.571e+04   	3.11e+04    	1.227e+04   	2.708e+04   
96          	18          	1.052       	2.932e+05   	0.7687      	4.466e+04   	4.412e+04   	2.463e+04   	2.86e+04    	2.297e+04   	2.485e+04   
97          	18          	0.7284      	2.912e+05   	0.5503      	4.471e+04   	4.308e+04   	2.395e+04   	2.626e+04   	3.223e+04   	2.214e+04   
98          	18          	0.5802      	2.903e+05   	0.3111      	4.429e+04   	4.213e+04   	2.332e+04   	2.486e+04   	3.196e+04   	1.905e+04   
99          	18          	0.6451      	2.631e+05   	0.566       	4.546e+04   	4.078e+04   	2.317e+04   	2.319e+04   	3.903e+04   	1.597e+04   
100         	18          	0.5432      	2.837e+05   	0.4341      	4.605e+04   	3.968e+04   	3.201e+04   	2.234e+04   	3.841e+04   	1.283e+04   
101         	18          	0.7562      	2.76e+05    	0.5724      	4.591e+04   	3.791e+04   	3.188e+04   	3.095e+04   	3.704e+04   	9829        
102         	18          	0.6543      	2.354e+05   	1.065       	4.719e+04   	4.336e+04   	3.18e+04    	2.993e+04   	4.185e+04   	1.797e+04   
103         	18          	0.6944      	2.312e+05   	0.3538      	4.873e+04   	4.281e+04   	3.162e+04   	2.98e+04    	3.912e+04   	1.573e+04   
104         	18          	0.9414      	2.676e+05   	0.6108      	4.948e+04   	4.172e+04   	3.124e+04   	3.72e+04    	3.654e+04   	1.418e+04   
105         	18          	0.7654      	2.653e+05   	0.532       	4.963e+04   	4.456e+04   	3.078e+04   	3.647e+04   	3.363e+04   	1.305e+04   
