replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	321         	10          	0.001497    	0.001594    	0.001398    
1           	322         	10          	0.001669    	0.001581    	0.001759    
1           	323         	10          	0.001527    	0.001276    	0.001784    
1           	324         	10          	0.001639    	0.001454    	0.001829    
1           	325         	10          	0.001718    	0.001648    	0.001791    
1           	326         	10          	0.002119    	0.002271    	0.001963    
1           	327         	10          	0.001907    	0.002297    	0.001506    
1           	328         	10          	0.002035    	0.002526    	0.001532    
1           	329         	10          	0.001656    	0.001649    	0.001663    
1           	330         	10          	0.001761    	0.001975    	0.001542    
1           	331         	10          	0.001735    	0.001818    	0.001649    
1           	332         	10          	0.001834    	0.00175     	0.001919    
1           	333         	10          	0.001981    	0.001822    	0.002145    
1           	334         	10          	0.001639    	0.001658    	0.00162     
1           	335         	10          	0.001816    	0.001986    	0.001642    
1           	336         	10          	0.001675    	0.001758    	0.00159     
1           	337         	10          	0.001771    	0.001866    	0.001674    
1           	338         	10          	0.001935    	0.00181     	0.002062    
1           	339         	10          	0.001912    	0.001895    	0.00193     
1           	340         	10          	0.002054    	0.002079    	0.002027    
1           	341         	10          	0.001931    	0.002052    	0.001806    
1           	342         	10          	0.001649    	0.00172     	0.001576    
1           	343         	10          	0.001582    	0.001493    	0.001672    
1           	344         	10          	0.001495    	0.00112     	0.001877    
1           	345         	10          	0.001562    	0.001037    	0.002097    
1           	346         	10          	0.001693    	0.001243    	0.002151    
1           	347         	10          	0.00146     	0.0009162   	0.002013    
1           	348         	10          	0.00123     	0.0009889   	0.001475    
1           	349         	10          	0.001256    	0.00115     	0.001363    
1           	350         	10          	0.001396    	0.001215    	0.00158     
1           	351         	10          	0.00149     	0.001142    	0.001843    
1           	352         	10          	0.001407    	0.001142    	0.001676    
1           	353         	10          	0.001308    	0.000979    	0.001642    
1           	354         	10          	0.001347    	0.001063    	0.001637    
1           	355         	10          	0.001598    	0.001346    	0.001855    
1           	356         	10          	0.001145    	0.0008857   	0.001409    
1           	357         	10          	0.001095    	0.0008694   	0.001326    
1           	358         	10          	0.001077    	0.0007823   	0.001377    
1           	359         	10          	0.001084    	0.0009568   	0.001214    
1           	360         	10          	0.001019    	0.0008543   	0.001188    
1           	361         	10          	0.000956    	0.0008496   	0.001064    
1           	362         	10          	0.001068    	0.001192    	0.0009416   
1           	363         	10          	0.001379    	0.001275    	0.001485    
1           	364         	10          	0.001504    	0.001455    	0.001553    
1           	365         	10          	0.001653    	0.001409    	0.001902    
1           	366         	10          	0.001564    	0.001513    	0.001615    
1           	367         	10          	0.001672    	0.001214    	0.002138    
1           	368         	10          	0.00168     	0.00115     	0.002221    
1           	369         	10          	0.001447    	0.001151    	0.001749    
