generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
256         	1           	11          	0.3929      	0.3898      
257         	1           	11          	0.3833      	0.3828      
258         	1           	11          	0.3865      	0.3863      
259         	1           	11          	0.3881      	0.3868      
260         	1           	11          	0.3874      	0.3858      
261         	1           	11          	0.3894      	0.3897      
262         	1           	11          	0.3888      	0.3887      
263         	1           	11          	0.3958      	0.3964      
264         	1           	11          	0.3976      	0.3972      
265         	1           	11          	0.3934      	0.3935      
266         	1           	11          	0.387       	0.3912      
267         	1           	11          	0.3916      	0.3907      
268         	1           	11          	0.3986      	0.3986      
269         	1           	11          	0.4025      	0.4006      
270         	1           	11          	0.3935      	0.3928      
271         	1           	11          	0.4011      	0.3981      
272         	1           	11          	0.4015      	0.4029      
273         	1           	11          	0.3947      	0.3991      
274         	1           	11          	0.4049      	0.402       
275         	1           	11          	0.4025      	0.4066      
276         	1           	11          	0.4078      	0.4098      
277         	1           	11          	0.4143      	0.4104      
278         	1           	11          	0.4059      	0.4053      
279         	1           	11          	0.4072      	0.4069      
280         	1           	11          	0.4084      	0.4062      
281         	1           	11          	0.4089      	0.4079      
282         	1           	11          	0.4175      	0.4149      
283         	1           	11          	0.4208      	0.4202      
284         	1           	11          	0.4237      	0.4239      
285         	1           	11          	0.4287      	0.4257      
286         	1           	11          	0.4318      	0.4288      
287         	1           	11          	0.4329      	0.4332      
288         	1           	11          	0.4324      	0.4311      
289         	1           	11          	0.4352      	0.4375      
290         	1           	11          	0.4431      	0.4436      
291         	1           	11          	0.444       	0.4474      
292         	1           	11          	0.4474      	0.4506      
293         	1           	11          	0.4549      	0.4525      
294         	1           	11          	0.4584      	0.4532      
295         	1           	11          	0.452       	0.4529      
296         	1           	11          	0.4592      	0.4599      
297         	1           	11          	0.4601      	0.4598      
298         	1           	11          	0.4619      	0.4626      
299         	1           	11          	0.4661      	0.4652      
300         	1           	11          	0.471       	0.4715      
301         	1           	11          	0.4765      	0.4767      
302         	1           	11          	0.4791      	0.4795      
303         	1           	11          	0.4718      	0.474       
304         	1           	11          	0.4784      	0.4774      
305         	1           	11          	0.4874      	0.4881      
306         	1           	11          	0.4789      	0.4798      
307         	1           	11          	0.4861      	0.4873      
308         	1           	11          	0.4884      	0.486       
309         	1           	11          	0.4823      	0.485       
310         	1           	11          	0.481       	0.4822      
311         	1           	11          	0.4744      	0.4774      
312         	1           	11          	0.4769      	0.4733      
313         	1           	11          	0.4671      	0.4697      
314         	1           	11          	0.4591      	0.4647      
315         	1           	11          	0.4631      	0.466       
316         	1           	11          	0.4654      	0.4684      
317         	1           	11          	0.4731      	0.4728      
318         	1           	11          	0.4762      	0.4754      
319         	1           	11          	0.474       	0.4699      
320         	1           	11          	0.4649      	0.468       
321         	1           	11          	0.4691      	0.4664      
322         	1           	11          	0.4734      	0.4714      
323         	1           	11          	0.4774      	0.474       
324         	1           	11          	0.4753      	0.4774      
325         	1           	11          	0.4745      	0.476       
326         	1           	11          	0.4739      	0.4755      
327         	1           	11          	0.485       	0.4823      
328         	1           	11          	0.4843      	0.4829      
329         	1           	11          	0.4834      	0.4815      
330         	1           	11          	0.4831      	0.4828      
331         	1           	11          	0.4786      	0.4808      
332         	1           	11          	0.4808      	0.4829      
333         	1           	11          	0.4798      	0.4794      
334         	1           	11          	0.4817      	0.4838      
335         	1           	11          	0.4828      	0.4833      
336         	1           	11          	0.4885      	0.4876      
337         	1           	11          	0.4926      	0.4946      
338         	1           	11          	0.4946      	0.4993      
339         	1           	11          	0.5084      	0.5045      
340         	1           	11          	0.5061      	0.5054      
341         	1           	11          	0.5019      	0.5032      
342         	1           	11          	0.4987      	0.4983      
343         	1           	11          	0.5006      	0.5014      
344         	1           	11          	0.5134      	0.5108      
345         	1           	11          	0.5151      	0.5161      
346         	1           	11          	0.514       	0.5149      
347         	1           	11          	0.5141      	0.5098      
348         	1           	11          	0.5219      	0.5169      
349         	1           	11          	0.5175      	0.5198      
350         	1           	11          	0.5295      	0.528       
351         	1           	11          	0.5364      	0.538       
352         	1           	11          	0.5447      	0.5419      
353         	1           	11          	0.5362      	0.5366      
354         	1           	11          	0.5381      	0.5392      
355         	1           	11          	0.5463      	0.5461      
356         	1           	11          	0.5558      	0.5536      
357         	1           	11          	0.562       	0.5604      
358         	1           	11          	0.5646      	0.564       
359         	1           	11          	0.5674      	0.5638      
360         	1           	11          	0.5701      	0.5701      
361         	1           	11          	0.5741      	0.5695      
362         	1           	11          	0.5675      	0.5688      
363         	1           	11          	0.5682      	0.5643      
364         	1           	11          	0.559       	0.5608      
365         	1           	11          	0.5623      	0.5624      
366         	1           	11          	0.5612      	0.5615      
367         	1           	11          	0.5558      	0.5562      
368         	1           	11          	0.5454      	0.5465      
369         	1           	11          	0.5432      	0.5439      
370         	1           	11          	0.5422      	0.5417      
371         	1           	11          	0.5393      	0.5402      
372         	1           	11          	0.5396      	0.5396      
373         	1           	11          	0.5403      	0.5393      
374         	1           	11          	0.5371      	0.5438      
375         	1           	11          	0.5516      	0.5487      
376         	1           	11          	0.5475      	0.5497      
377         	1           	11          	0.5497      	0.5518      
378         	1           	11          	0.5511      	0.5495      
379         	1           	11          	0.5503      	0.5477      
380         	1           	11          	0.5432      	0.5411      
381         	1           	11          	0.5436      	0.5432      
382         	1           	11          	0.5463      	0.5454      
383         	1           	11          	0.5375      	0.5429      
384         	1           	11          	0.543       	0.5466      
385         	1           	11          	0.5514      	0.5526      
386         	1           	11          	0.5547      	0.5558      
387         	1           	11          	0.5613      	0.5602      
388         	1           	11          	0.5563      	0.5584      
389         	1           	11          	0.5577      	0.5622      
390         	1           	11          	0.5633      	0.561       
391         	1           	11          	0.5614      	0.5607      
392         	1           	11          	0.5644      	0.5645      
393         	1           	11          	0.5633      	0.5671      
394         	1           	11          	0.5653      	0.5686      
395         	1           	11          	0.5665      	0.5657      
396         	1           	11          	0.5618      	0.563       
397         	1           	11          	0.562       	0.5598      
398         	1           	11          	0.5546      	0.5532      
399         	1           	11          	0.5519      	0.5569      
400         	1           	11          	0.5621      	0.5573      
401         	1           	11          	0.5606      	0.5633      
402         	1           	11          	0.5598      	0.5591      
403         	1           	11          	0.5602      	0.5594      
404         	1           	11          	0.5483      	0.5536      
405         	1           	11          	0.5555      	0.5573      
406         	1           	11          	0.5673      	0.5677      
407         	1           	11          	0.5748      	0.5731      
408         	1           	11          	0.5722      	0.5729      
409         	1           	11          	0.5706      	0.5761      
410         	1           	11          	0.5819      	0.5803      
411         	1           	11          	0.581       	0.5824      
412         	1           	11          	0.5873      	0.5839      
413         	1           	11          	0.5898      	0.5888      
414         	1           	11          	0.5911      	0.5906      
415         	1           	11          	0.5895      	0.5871      
416         	1           	11          	0.5959      	0.5945      
417         	1           	11          	0.5918      	0.594       
418         	1           	11          	0.5952      	0.5956      
419         	1           	11          	0.6028      	0.5999      
420         	1           	11          	0.5999      	0.5948      
421         	1           	11          	0.5967      	0.5938      
422         	1           	11          	0.5965      	0.597       
423         	1           	11          	0.6019      	0.6048      
424         	1           	11          	0.602       	0.6025      
425         	1           	11          	0.602       	0.6014      
426         	1           	11          	0.6064      	0.6062      
427         	1           	11          	0.6138      	0.6158      
428         	1           	11          	0.621       	0.6203      
429         	1           	11          	0.6169      	0.6207      
430         	1           	11          	0.634       	0.63        
431         	1           	11          	0.6249      	0.6259      
432         	1           	11          	0.6331      	0.6309      
433         	1           	11          	0.6288      	0.6281      
434         	1           	11          	0.6331      	0.6306      
435         	1           	11          	0.6345      	0.6347      
436         	1           	11          	0.6339      	0.6341      
437         	1           	11          	0.631       	0.6359      
438         	1           	11          	0.636       	0.633       
439         	1           	11          	0.6388      	0.6377      
440         	1           	11          	0.6364      	0.6382      
441         	1           	11          	0.6337      	0.6349      
442         	1           	11          	0.6349      	0.6325      
443         	1           	11          	0.6423      	0.6365      
444         	1           	11          	0.6317      	0.6366      
445         	1           	11          	0.6379      	0.6376      
446         	1           	11          	0.6332      	0.6331      
447         	1           	11          	0.6348      	0.6335      
448         	1           	11          	0.6372      	0.6343      
449         	1           	11          	0.6311      	0.6361      
450         	1           	11          	0.6358      	0.6325      
451         	1           	11          	0.6258      	0.6296      
452         	1           	11          	0.6225      	0.6246      
453         	1           	11          	0.6221      	0.627       
454         	1           	11          	0.6299      	0.6305      
455         	1           	11          	0.6307      	0.632       
456         	1           	11          	0.6377      	0.6338      
457         	1           	11          	0.6375      	0.638       
458         	1           	11          	0.6347      	0.6399      
459         	1           	11          	0.6447      	0.6443      
460         	1           	11          	0.6477      	0.6476      
461         	1           	11          	0.6488      	0.6482      
462         	1           	11          	0.6554      	0.6561      
463         	1           	11          	0.657       	0.6555      
464         	1           	11          	0.6491      	0.6488      
465         	1           	11          	0.65        	0.6473      
466         	1           	11          	0.6415      	0.6443      
467         	1           	11          	0.6434      	0.6446      
468         	1           	11          	0.6359      	0.6409      
469         	1           	11          	0.6399      	0.6417      
470         	1           	11          	0.6428      	0.6443      
471         	1           	11          	0.6553      	0.6467      
472         	1           	11          	0.6362      	0.6399      
473         	1           	11          	0.6391      	0.6415      
474         	1           	11          	0.6429      	0.6455      
475         	1           	11          	0.6476      	0.6485      
476         	1           	11          	0.6464      	0.6431      
477         	1           	11          	0.6341      	0.6389      
478         	1           	11          	0.6429      	0.6398      
479         	1           	11          	0.6435      	0.641       
480         	1           	11          	0.6413      	0.635       
481         	1           	11          	0.6306      	0.6308      
482         	1           	11          	0.6313      	0.6293      
483         	1           	11          	0.6297      	0.6288      
484         	1           	11          	0.6218      	0.6252      
485         	1           	11          	0.633       	0.6358      
486         	1           	11          	0.6326      	0.631       
487         	1           	11          	0.6381      	0.639       
488         	1           	11          	0.6323      	0.6351      
489         	1           	11          	0.6479      	0.641       
490         	1           	11          	0.6489      	0.645       
491         	1           	11          	0.6418      	0.6418      
492         	1           	11          	0.6377      	0.6457      
493         	1           	11          	0.6488      	0.6456      
494         	1           	11          	0.6459      	0.6486      
495         	1           	11          	0.6461      	0.6487      
496         	1           	11          	0.6557      	0.645       
497         	1           	11          	0.6529      	0.651       
498         	1           	11          	0.6492      	0.65        
499         	1           	11          	0.6463      	0.6492      
500         	1           	11          	0.6465      	0.6491      
501         	1           	11          	0.6469      	0.6481      
502         	1           	11          	0.6477      	0.6494      
503         	1           	11          	0.6604      	0.6561      
504         	1           	11          	0.6536      	0.6528      
505         	1           	11          	0.6532      	0.6566      
506         	1           	11          	0.6599      	0.655       
507         	1           	11          	0.6583      	0.6538      
508         	1           	11          	0.6559      	0.6565      
509         	1           	11          	0.6514      	0.6531      
510         	1           	11          	0.6564      	0.6528      
511         	1           	11          	0.6475      	0.6478      
512         	1           	11          	0.6513      	0.6525      
513         	1           	11          	0.6571      	0.6555      
514         	1           	11          	0.6608      	0.6646      
515         	1           	11          	0.6601      	0.6567      
516         	1           	11          	0.6622      	0.6594      
517         	1           	11          	0.6616      	0.6613      
518         	1           	11          	0.6681      	0.662       
