replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	203         	11          	0.3146      	0.3154      
1           	204         	11          	0.3172      	0.319       
1           	205         	11          	0.3185      	0.3184      
1           	206         	11          	0.323       	0.3224      
1           	207         	11          	0.3292      	0.3304      
1           	208         	11          	0.3313      	0.3315      
1           	209         	11          	0.3379      	0.3394      
1           	210         	11          	0.3444      	0.342       
1           	211         	11          	0.3452      	0.3457      
1           	212         	11          	0.35        	0.3479      
1           	213         	11          	0.3406      	0.3422      
1           	214         	11          	0.3423      	0.3458      
1           	215         	11          	0.3428      	0.3441      
1           	216         	11          	0.3451      	0.3427      
1           	217         	11          	0.3509      	0.3517      
1           	218         	11          	0.3462      	0.3467      
1           	219         	11          	0.3491      	0.3471      
1           	220         	11          	0.3481      	0.3485      
1           	221         	11          	0.3539      	0.3535      
1           	222         	11          	0.3544      	0.3518      
1           	223         	11          	0.3506      	0.3534      
1           	224         	11          	0.3442      	0.3431      
1           	225         	11          	0.3488      	0.3462      
1           	226         	11          	0.3471      	0.347       
1           	227         	11          	0.3483      	0.3501      
1           	228         	11          	0.3493      	0.3502      
1           	229         	11          	0.3524      	0.3507      
1           	230         	11          	0.3528      	0.3494      
1           	231         	11          	0.3416      	0.3404      
1           	232         	11          	0.3464      	0.3453      
1           	233         	11          	0.3464      	0.3483      
1           	234         	11          	0.3485      	0.3495      
1           	235         	11          	0.3516      	0.3517      
1           	236         	11          	0.3503      	0.3513      
1           	237         	11          	0.3507      	0.3509      
1           	238         	11          	0.3589      	0.3622      
1           	239         	11          	0.3705      	0.3677      
1           	240         	11          	0.3773      	0.3761      
1           	241         	11          	0.3836      	0.3844      
1           	242         	11          	0.3852      	0.3852      
1           	243         	11          	0.3936      	0.3903      
1           	244         	11          	0.3871      	0.3886      
1           	245         	11          	0.3892      	0.391       
1           	246         	11          	0.3953      	0.3948      
1           	247         	11          	0.3974      	0.3963      
1           	248         	11          	0.4015      	0.3984      
1           	249         	11          	0.3934      	0.3929      
1           	250         	11          	0.3907      	0.3921      
1           	251         	11          	0.4036      	0.4023      
1           	252         	11          	0.4022      	0.4023      
1           	253         	11          	0.3994      	0.3973      
1           	254         	11          	0.401       	0.4008      
1           	255         	11          	0.3994      	0.3975      
1           	256         	11          	0.395       	0.3954      
1           	257         	11          	0.3981      	0.3982      
1           	258         	11          	0.3931      	0.3923      
1           	259         	11          	0.3948      	0.3934      
1           	260         	11          	0.3992      	0.4012      
1           	261         	11          	0.4083      	0.4067      
1           	262         	11          	0.404       	0.4055      
1           	263         	11          	0.4035      	0.4054      
1           	264         	11          	0.4141      	0.414       
1           	265         	11          	0.4185      	0.4168      
1           	266         	11          	0.4114      	0.4128      
1           	267         	11          	0.4162      	0.4134      
1           	268         	11          	0.4217      	0.4204      
1           	269         	11          	0.4267      	0.4242      
1           	270         	11          	0.4216      	0.4172      
1           	271         	11          	0.4203      	0.422       
1           	272         	11          	0.429       	0.4275      
1           	273         	11          	0.429       	0.4316      
1           	274         	11          	0.4366      	0.4324      
1           	275         	11          	0.4349      	0.4366      
1           	276         	11          	0.4403      	0.4404      
1           	277         	11          	0.4464      	0.4458      
1           	278         	11          	0.44        	0.446       
1           	279         	11          	0.4581      	0.4563      
1           	280         	11          	0.4609      	0.4586      
1           	281         	11          	0.469       	0.4618      
1           	282         	11          	0.46        	0.458       
1           	283         	11          	0.4599      	0.4579      
1           	284         	11          	0.4558      	0.457       
1           	285         	11          	0.4593      	0.4628      
1           	286         	11          	0.4771      	0.473       
1           	287         	11          	0.4707      	0.4728      
1           	288         	11          	0.4768      	0.4783      
1           	289         	11          	0.4857      	0.4841      
1           	290         	11          	0.4867      	0.4888      
1           	291         	11          	0.4832      	0.4835      
1           	292         	11          	0.4821      	0.4817      
1           	293         	11          	0.478       	0.4793      
1           	294         	11          	0.4783      	0.4782      
1           	295         	11          	0.4804      	0.4779      
1           	296         	11          	0.4891      	0.4867      
1           	297         	11          	0.4898      	0.4871      
1           	298         	11          	0.4926      	0.4889      
1           	299         	11          	0.5015      	0.4972      
1           	300         	11          	0.4892      	0.4932      
1           	301         	11          	0.4883      	0.4883      
1           	302         	11          	0.4925      	0.494       
