generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
293         	1           	8.8         	0.3652      	0.6186      	0.1003      
294         	1           	8.7         	0.3632      	0.6171      	0.0979      
295         	1           	8.75        	0.366       	0.6214      	0.09908     
296         	1           	8.75        	0.3679      	0.627       	0.09724     
297         	1           	8.7         	0.3644      	0.622       	0.09516     
298         	1           	8.85        	0.3632      	0.6215      	0.09338     
299         	1           	8.75        	0.3607      	0.615       	0.0951      
300         	1           	8.65        	0.3614      	0.6141      	0.09779     
301         	1           	8.7         	0.3612      	0.6153      	0.09578     
302         	1           	8.55        	0.3641      	0.6192      	0.09744     
303         	1           	8.55        	0.3647      	0.6182      	0.09936     
304         	1           	8.6         	0.3672      	0.6236      	0.09872     
305         	1           	8.7         	0.3696      	0.6275      	0.09961     
306         	1           	8.7         	0.3695      	0.6291      	0.09793     
307         	1           	8.8         	0.372       	0.6357      	0.09625     
308         	1           	8.9         	0.3679      	0.6256      	0.09852     
309         	1           	8.65        	0.3715      	0.6322      	0.09939     
310         	1           	8.7         	0.3647      	0.6177      	0.1003      
311         	1           	8.65        	0.368       	0.6217      	0.1028      
312         	1           	8.85        	0.3643      	0.6125      	0.1045      
313         	1           	9           	0.36        	0.6021      	0.1062      
314         	1           	8.9         	0.3592      	0.6014      	0.1058      
315         	1           	8.7         	0.3566      	0.5981      	0.1047      
316         	1           	8.85        	0.355       	0.596       	0.1035      
317         	1           	8.6         	0.356       	0.6007      	0.1006      
318         	1           	8.6         	0.3551      	0.5986      	0.101       
319         	1           	8.55        	0.3533      	0.5959      	0.1004      
320         	1           	8.7         	0.3472      	0.586       	0.09782     
321         	1           	8.75        	0.3496      	0.5882      	0.1005      
322         	1           	8.75        	0.356       	0.5997      	0.1012      
323         	1           	8.7         	0.355       	0.5979      	0.1011      
324         	1           	8.65        	0.3496      	0.5882      	0.1001      
325         	1           	8.8         	0.3493      	0.5842      	0.1039      
326         	1           	8.75        	0.35        	0.5859      	0.1039      
327         	1           	8.8         	0.35        	0.5854      	0.1045      
328         	1           	8.85        	0.3448      	0.5761      	0.1033      
329         	1           	8.9         	0.3438      	0.5687      	0.1092      
330         	1           	8.8         	0.3425      	0.5651      	0.1101      
331         	1           	8.85        	0.3422      	0.5642      	0.1105      
332         	1           	8.85        	0.3409      	0.5602      	0.1122      
333         	1           	8.85        	0.3404      	0.5613      	0.1105      
334         	1           	8.95        	0.3414      	0.5614      	0.112       
335         	1           	8.85        	0.3423      	0.5657      	0.1093      
336         	1           	8.8         	0.3419      	0.5637      	0.1106      
337         	1           	8.8         	0.3406      	0.5603      	0.1112      
338         	1           	8.8         	0.3397      	0.5609      	0.1089      
339         	1           	8.8         	0.3357      	0.5517      	0.1103      
340         	1           	8.9         	0.3348      	0.5496      	0.1106      
341         	1           	9.1         	0.3332      	0.5496      	0.1079      
342         	1           	8.7         	0.3357      	0.5509      	0.1115      
343         	1           	8.75        	0.3336      	0.5488      	0.109       
344         	1           	8.85        	0.3323      	0.5471      	0.1078      
345         	1           	9           	0.3359      	0.5546      	0.1075      
346         	1           	8.95        	0.3372      	0.5581      	0.1066      
347         	1           	9.05        	0.3385      	0.5602      	0.1072      
348         	1           	8.85        	0.3391      	0.5598      	0.1091      
349         	1           	8.85        	0.3382      	0.5586      	0.1087      
350         	1           	8.85        	0.3415      	0.5629      	0.1107      
351         	1           	8.8         	0.3405      	0.5606      	0.1112      
352         	1           	8.9         	0.3379      	0.5576      	0.1096      
353         	1           	8.85        	0.3378      	0.5586      	0.1081      
354         	1           	8.85        	0.3351      	0.5531      	0.1085      
355         	1           	8.8         	0.3401      	0.5601      	0.1113      
356         	1           	8.7         	0.3383      	0.5569      	0.111       
357         	1           	8.75        	0.3358      	0.5531      	0.1097      
358         	1           	8.75        	0.3359      	0.5537      	0.1092      
359         	1           	8.8         	0.3375      	0.5539      	0.1125      
360         	1           	8.6         	0.3351      	0.5488      	0.1129      
361         	1           	8.65        	0.3337      	0.5485      	0.1104      
362         	1           	8.6         	0.3328      	0.5444      	0.1131      
363         	1           	8.75        	0.3347      	0.5487      	0.1124      
364         	1           	8.75        	0.3351      	0.5518      	0.1098      
365         	1           	8.85        	0.3329      	0.5475      	0.1097      
366         	1           	8.85        	0.3282      	0.5411      	0.1071      
367         	1           	8.8         	0.3274      	0.5397      	0.1069      
368         	1           	8.9         	0.3265      	0.5352      	0.1098      
369         	1           	8.75        	0.3247      	0.5297      	0.1117      
370         	1           	8.6         	0.3282      	0.5374      	0.1109      
371         	1           	8.75        	0.3256      	0.5338      	0.1096      
372         	1           	8.8         	0.3271      	0.5361      	0.1103      
373         	1           	8.8         	0.3306      	0.5434      	0.1099      
374         	1           	8.8         	0.333       	0.5469      	0.1115      
375         	1           	8.6         	0.3358      	0.5545      	0.1092      
376         	1           	8.7         	0.3365      	0.5554      	0.1101      
377         	1           	8.7         	0.3377      	0.5572      	0.1108      
378         	1           	8.75        	0.3399      	0.5601      	0.1121      
379         	1           	8.65        	0.3423      	0.5653      	0.1113      
380         	1           	8.75        	0.3443      	0.5691      	0.1117      
381         	1           	8.95        	0.3386      	0.5594      	0.1103      
382         	1           	8.9         	0.3386      	0.5602      	0.1092      
383         	1           	8.8         	0.3395      	0.5605      	0.1105      
384         	1           	8.7         	0.3395      	0.5609      	0.1101      
385         	1           	8.75        	0.338       	0.5594      	0.1083      
386         	1           	8.6         	0.3347      	0.5509      	0.1105      
387         	1           	8.5         	0.3345      	0.5474      	0.1141      
388         	1           	8.6         	0.3349      	0.546       	0.1164      
389         	1           	8.7         	0.3324      	0.5404      	0.117       
390         	1           	8.6         	0.3284      	0.5367      	0.1128      
391         	1           	8.65        	0.3281      	0.535       	0.114       
392         	1           	8.85        	0.3272      	0.5315      	0.1159      
393         	1           	8.65        	0.3255      	0.5296      	0.1145      
394         	1           	8.7         	0.3254      	0.5264      	0.1176      
395         	1           	8.5         	0.3254      	0.5265      	0.1178      
396         	1           	8.6         	0.3192      	0.5163      	0.1159      
397         	1           	8.5         	0.3204      	0.5168      	0.1182      
398         	1           	8.5         	0.3177      	0.5137      	0.1158      
399         	1           	8.6         	0.3208      	0.5188      	0.1165      
400         	1           	8.5         	0.321       	0.5172      	0.1184      
401         	1           	8.55        	0.318       	0.5126      	0.117       
402         	1           	8.6         	0.3163      	0.5075      	0.1187      
403         	1           	8.7         	0.3107      	0.4973      	0.1181      
404         	1           	8.65        	0.3056      	0.4928      	0.1126      
405         	1           	8.5         	0.3027      	0.4895      	0.1101      
406         	1           	8.65        	0.3002      	0.4875      	0.1074      
407         	1           	8.8         	0.2987      	0.4856      	0.1061      
408         	1           	8.7         	0.3009      	0.4859      	0.1106      
409         	1           	8.6         	0.3038      	0.489       	0.113       
410         	1           	8.5         	0.304       	0.4888      	0.1139      
411         	1           	8.7         	0.2967      	0.4766      	0.1116      
412         	1           	8.7         	0.2934      	0.4709      	0.111       
413         	1           	8.65        	0.29        	0.466       	0.1091      
414         	1           	8.7         	0.2934      	0.472       	0.1099      
415         	1           	8.8         	0.2935      	0.4735      	0.1084      
416         	1           	8.7         	0.2913      	0.4718      	0.1058      
417         	1           	8.9         	0.2912      	0.4712      	0.1063      
418         	1           	8.75        	0.2894      	0.4648      	0.1096      
