replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	144         	8.7         	0.4191      	0.7743      	0.05502     
1           	145         	8.65        	0.4204      	0.7768      	0.05532     
1           	146         	8.8         	0.4168      	0.7702      	0.05494     
1           	147         	8.9         	0.415       	0.7683      	0.0535      
1           	148         	8.9         	0.4144      	0.7662      	0.05449     
1           	149         	8.9         	0.4163      	0.7695      	0.0549      
1           	150         	8.95        	0.4164      	0.7704      	0.05412     
1           	151         	8.9         	0.4156      	0.7677      	0.05555     
1           	152         	8.9         	0.4119      	0.7586      	0.05733     
1           	153         	8.75        	0.4127      	0.759       	0.05873     
1           	154         	8.75        	0.4108      	0.7572      	0.05662     
1           	155         	8.85        	0.4122      	0.7593      	0.05761     
1           	156         	8.8         	0.4111      	0.7574      	0.05693     
1           	157         	8.85        	0.4092      	0.7518      	0.05866     
1           	158         	9.05        	0.4071      	0.748       	0.05825     
1           	159         	9.2         	0.4059      	0.7449      	0.0587      
1           	160         	9.05        	0.4078      	0.7482      	0.05948     
1           	161         	9.05        	0.4116      	0.7553      	0.06005     
1           	162         	9           	0.4103      	0.75        	0.06248     
1           	163         	8.95        	0.412       	0.7525      	0.06339     
1           	164         	9.05        	0.412       	0.7511      	0.06455     
1           	165         	9           	0.4119      	0.75        	0.06524     
1           	166         	8.9         	0.4129      	0.7522      	0.06485     
1           	167         	9.05        	0.4103      	0.7486      	0.06357     
1           	168         	9           	0.4061      	0.7408      	0.06338     
1           	169         	8.95        	0.4042      	0.7369      	0.06309     
1           	170         	9           	0.4049      	0.7371      	0.06486     
1           	171         	9           	0.4083      	0.7431      	0.06575     
1           	172         	9           	0.4065      	0.7388      	0.06633     
1           	173         	8.95        	0.405       	0.7374      	0.06472     
1           	174         	8.75        	0.406       	0.7392      	0.06469     
1           	175         	8.9         	0.4028      	0.7348      	0.06311     
1           	176         	8.85        	0.402       	0.734       	0.06231     
1           	177         	8.9         	0.4014      	0.7321      	0.06275     
1           	178         	8.8         	0.4039      	0.7368      	0.0628      
1           	179         	8.95        	0.406       	0.74        	0.06401     
1           	180         	8.8         	0.4065      	0.7424      	0.06286     
1           	181         	8.9         	0.4093      	0.7455      	0.06521     
1           	182         	8.95        	0.4087      	0.7456      	0.0642      
1           	183         	9.05        	0.4071      	0.7431      	0.06331     
1           	184         	8.95        	0.4087      	0.7464      	0.0628      
1           	185         	9           	0.4059      	0.7394      	0.06441     
1           	186         	8.95        	0.4043      	0.7355      	0.06544     
1           	187         	8.9         	0.4038      	0.7355      	0.06468     
1           	188         	8.85        	0.4013      	0.728       	0.06757     
1           	189         	8.8         	0.404       	0.7317      	0.0692      
1           	190         	8.85        	0.4038      	0.7313      	0.0692      
1           	191         	8.9         	0.3998      	0.7248      	0.06757     
1           	192         	8.9         	0.3964      	0.7175      	0.06844     
1           	193         	9           	0.3921      	0.7111      	0.06633     
1           	194         	8.95        	0.392       	0.7115      	0.06603     
1           	195         	8.95        	0.3892      	0.7075      	0.06409     
1           	196         	9           	0.3887      	0.7068      	0.06402     
1           	197         	9.05        	0.3874      	0.7051      	0.06323     
1           	198         	9.05        	0.389       	0.7067      	0.06451     
1           	199         	9           	0.3903      	0.7088      	0.06494     
1           	200         	8.7         	0.3891      	0.7052      	0.06656     
1           	201         	8.85        	0.391       	0.7104      	0.06451     
1           	202         	8.75        	0.3863      	0.7016      	0.06396     
1           	203         	8.85        	0.3847      	0.6991      	0.06326     
1           	204         	9.05        	0.3826      	0.6944      	0.06374     
1           	205         	8.85        	0.382       	0.6922      	0.06478     
1           	206         	8.8         	0.3817      	0.6893      	0.06726     
1           	207         	8.85        	0.3802      	0.6844      	0.06919     
1           	208         	8.85        	0.3818      	0.6848      	0.07231     
1           	209         	8.95        	0.3801      	0.6835      	0.06986     
1           	210         	9.1         	0.3765      	0.6764      	0.06973     
1           	211         	8.8         	0.3737      	0.672       	0.06897     
1           	212         	8.9         	0.3746      	0.6728      	0.06946     
1           	213         	8.95        	0.3711      	0.6662      	0.0693      
1           	214         	9           	0.3723      	0.669       	0.0685      
