generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
260         	1           	10          	0.02309     	0.02312     	0.02306     
261         	1           	10          	0.02362     	0.02437     	0.02285     
262         	1           	10          	0.02311     	0.02397     	0.02222     
263         	1           	10          	0.02293     	0.02373     	0.02211     
264         	1           	10          	0.02333     	0.02385     	0.02279     
265         	1           	10          	0.02224     	0.02335     	0.0211      
266         	1           	10          	0.02312     	0.02376     	0.02247     
267         	1           	10          	0.02277     	0.02327     	0.02225     
268         	1           	10          	0.02098     	0.02196     	0.01997     
269         	1           	10          	0.02146     	0.02249     	0.02041     
270         	1           	10          	0.02043     	0.02121     	0.01962     
271         	1           	10          	0.0204      	0.022       	0.01875     
272         	1           	10          	0.01949     	0.02136     	0.01757     
273         	1           	10          	0.01914     	0.02081     	0.01744     
274         	1           	10          	0.01965     	0.02088     	0.01839     
275         	1           	10          	0.01963     	0.02096     	0.01827     
276         	1           	10          	0.01923     	0.01983     	0.01861     
277         	1           	9.95        	0.01816     	0.01835     	0.01797     
278         	1           	10          	0.01793     	0.01727     	0.0186      
279         	1           	9.85        	0.01799     	0.01698     	0.01902     
280         	1           	10          	0.01838     	0.01707     	0.01971     
281         	1           	10          	0.01845     	0.01662     	0.02032     
282         	1           	10          	0.01845     	0.01607     	0.02087     
283         	1           	9.9         	0.01832     	0.01621     	0.02047     
284         	1           	10          	0.01794     	0.01564     	0.02028     
285         	1           	10          	0.01825     	0.01673     	0.01981     
286         	1           	10          	0.01815     	0.01681     	0.01951     
287         	1           	10          	0.01751     	0.01555     	0.01952     
288         	1           	10          	0.01723     	0.01548     	0.01901     
289         	1           	10          	0.01718     	0.01443     	0.02        
290         	1           	10          	0.01718     	0.01456     	0.01985     
291         	1           	10          	0.01795     	0.01605     	0.0199      
292         	1           	10          	0.01777     	0.01623     	0.01935     
293         	1           	10          	0.01827     	0.01645     	0.02014     
294         	1           	10          	0.01828     	0.0168      	0.01979     
295         	1           	10          	0.01889     	0.01743     	0.02039     
296         	1           	10          	0.01884     	0.0177      	0.02        
297         	1           	10          	0.01826     	0.01755     	0.01898     
298         	1           	10          	0.01849     	0.01773     	0.01928     
299         	1           	10          	0.01846     	0.01834     	0.01858     
300         	1           	10          	0.01756     	0.01668     	0.01845     
301         	1           	10          	0.01738     	0.01645     	0.01833     
302         	1           	10          	0.01732     	0.0171      	0.01754     
303         	1           	10          	0.01713     	0.01645     	0.01784     
304         	1           	10          	0.01747     	0.01708     	0.01786     
305         	1           	10          	0.01744     	0.01737     	0.0175      
306         	1           	10          	0.01772     	0.01767     	0.01777     
307         	1           	10          	0.01793     	0.01755     	0.01831     
308         	1           	10          	0.01856     	0.01785     	0.0193      
309         	1           	10          	0.01845     	0.01677     	0.02018     
310         	1           	10          	0.01918     	0.01765     	0.02076     
311         	1           	10          	0.01883     	0.018       	0.01969     
312         	1           	10          	0.01884     	0.01801     	0.01969     
313         	1           	10          	0.01823     	0.01792     	0.01853     
314         	1           	10          	0.01779     	0.01805     	0.01752     
315         	1           	10          	0.01767     	0.01823     	0.0171      
316         	1           	10          	0.01714     	0.0175      	0.01676     
317         	1           	10          	0.0172      	0.01779     	0.01658     
318         	1           	10          	0.01772     	0.01766     	0.01778     
319         	1           	10          	0.0179      	0.0179      	0.0179      
320         	1           	9.95        	0.01897     	0.01917     	0.01877     
321         	1           	9.95        	0.0202      	0.02002     	0.02038     
322         	1           	9.95        	0.01985     	0.01996     	0.01975     
323         	1           	10          	0.01944     	0.01918     	0.01971     
324         	1           	9.95        	0.0182      	0.01824     	0.01815     
325         	1           	10          	0.01778     	0.01917     	0.01634     
326         	1           	10          	0.01781     	0.01846     	0.01715     
327         	1           	10          	0.01821     	0.01929     	0.01711     
328         	1           	10          	0.01798     	0.01904     	0.0169      
329         	1           	10          	0.0184      	0.02        	0.01674     
330         	1           	10          	0.01921     	0.02176     	0.01657     
331         	1           	10          	0.0196      	0.02215     	0.01695     
332         	1           	9.95        	0.02014     	0.02254     	0.01765     
333         	1           	9.95        	0.02108     	0.02283     	0.01927     
334         	1           	9.95        	0.0199      	0.02144     	0.01831     
335         	1           	9.95        	0.02045     	0.02117     	0.01969     
336         	1           	9.95        	0.0206      	0.02119     	0.01999     
337         	1           	10          	0.02022     	0.02018     	0.02025     
338         	1           	9.95        	0.02105     	0.02083     	0.02127     
339         	1           	9.95        	0.02034     	0.01953     	0.02118     
340         	1           	9.95        	0.0209      	0.02015     	0.02168     
341         	1           	9.95        	0.02072     	0.02091     	0.02052     
342         	1           	9.95        	0.02076     	0.02131     	0.0202      
343         	1           	9.95        	0.02109     	0.02149     	0.02067     
344         	1           	9.95        	0.02058     	0.01999     	0.02119     
345         	1           	9.9         	0.02044     	0.02026     	0.02063     
346         	1           	9.9         	0.02125     	0.02004     	0.0225      
347         	1           	9.9         	0.0216      	0.02136     	0.02185     
348         	1           	9.95        	0.02104     	0.02059     	0.02151     
349         	1           	9.95        	0.02076     	0.02049     	0.02103     
350         	1           	9.9         	0.01989     	0.01935     	0.02044     
351         	1           	10          	0.02002     	0.0183      	0.0218      
352         	1           	10          	0.01997     	0.01781     	0.0222      
353         	1           	10          	0.02042     	0.01843     	0.02248     
354         	1           	9.95        	0.02037     	0.01829     	0.02252     
355         	1           	9.95        	0.02035     	0.01807     	0.02269     
356         	1           	9.9         	0.02068     	0.01851     	0.02292     
357         	1           	9.9         	0.02122     	0.01842     	0.0241      
358         	1           	9.95        	0.02098     	0.01826     	0.02378     
359         	1           	9.95        	0.02059     	0.01764     	0.02362     
360         	1           	9.95        	0.02064     	0.01827     	0.02309     
361         	1           	9.95        	0.02059     	0.01893     	0.0223      
