replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	779         	8.35        	0.2426      	0.2941      	0.1887      
1           	780         	8.15        	0.2445      	0.2917      	0.1949      
1           	781         	8.15        	0.2454      	0.2896      	0.1991      
1           	782         	8.35        	0.2436      	0.2909      	0.194       
1           	783         	8.35        	0.2444      	0.2915      	0.195       
1           	784         	8.4         	0.2447      	0.2907      	0.1964      
1           	785         	8.3         	0.2448      	0.2902      	0.1972      
1           	786         	8.45        	0.2398      	0.2829      	0.1946      
1           	787         	8.5         	0.2416      	0.2835      	0.1975      
1           	788         	8.65        	0.2405      	0.2822      	0.1967      
1           	789         	8.8         	0.241       	0.2813      	0.1988      
1           	790         	8.5         	0.2433      	0.2852      	0.1995      
1           	791         	8.65        	0.2432      	0.283       	0.2014      
1           	792         	8.45        	0.2415      	0.2807      	0.2003      
1           	793         	8.8         	0.244       	0.2836      	0.2024      
1           	794         	8.6         	0.2443      	0.2862      	0.2004      
1           	795         	8.7         	0.24        	0.2794      	0.1988      
1           	796         	8.4         	0.2394      	0.2773      	0.1996      
1           	797         	8.45        	0.2381      	0.2747      	0.1996      
1           	798         	8.3         	0.238       	0.2731      	0.201       
1           	799         	8.45        	0.2416      	0.276       	0.2055      
1           	800         	8.45        	0.2411      	0.2763      	0.204       
1           	801         	8.55        	0.2412      	0.2765      	0.2042      
1           	802         	8.6         	0.2416      	0.2796      	0.2017      
1           	803         	8.7         	0.2426      	0.2811      	0.2022      
1           	804         	8.7         	0.2401      	0.2784      	0.1999      
1           	805         	8.75        	0.2412      	0.2795      	0.201       
1           	806         	8.55        	0.2419      	0.2824      	0.1996      
1           	807         	8.45        	0.2372      	0.277       	0.1955      
1           	808         	8.35        	0.2386      	0.2765      	0.1989      
1           	809         	8.5         	0.2415      	0.2816      	0.1995      
1           	810         	8.35        	0.2427      	0.2815      	0.2022      
1           	811         	8.15        	0.2429      	0.2835      	0.2004      
1           	812         	8.3         	0.2418      	0.2785      	0.2034      
1           	813         	8.4         	0.2388      	0.2764      	0.1994      
1           	814         	8.6         	0.2413      	0.2822      	0.1984      
1           	815         	8.6         	0.2437      	0.2866      	0.1988      
1           	816         	8.4         	0.2433      	0.2856      	0.199       
1           	817         	8.45        	0.2395      	0.2774      	0.1999      
1           	818         	8.4         	0.2399      	0.2796      	0.1982      
1           	819         	8.6         	0.2403      	0.2796      	0.1992      
1           	820         	8.3         	0.2389      	0.2786      	0.1973      
1           	821         	8.3         	0.24        	0.2784      	0.1996      
1           	822         	8.6         	0.2403      	0.2809      	0.1975      
1           	823         	8.5         	0.2382      	0.2776      	0.1968      
1           	824         	8.4         	0.2391      	0.2749      	0.2016      
1           	825         	8.5         	0.2415      	0.2765      	0.2048      
1           	826         	8.5         	0.2434      	0.2754      	0.2097      
1           	827         	8.45        	0.2441      	0.2744      	0.2123      
1           	828         	8.35        	0.2424      	0.2712      	0.2122      
1           	829         	8.35        	0.2406      	0.2701      	0.2096      
1           	830         	8.3         	0.2431      	0.2674      	0.2176      
1           	831         	8.35        	0.2398      	0.2634      	0.215       
1           	832         	8.25        	0.2391      	0.2643      	0.2125      
1           	833         	8.15        	0.2408      	0.2661      	0.2143      
1           	834         	8.2         	0.2414      	0.2712      	0.2101      
1           	835         	8.35        	0.2344      	0.2668      	0.2004      
1           	836         	8.3         	0.2363      	0.2693      	0.2017      
1           	837         	8.45        	0.2342      	0.2705      	0.1961      
1           	838         	8.55        	0.2346      	0.267       	0.2005      
1           	839         	8.3         	0.2352      	0.266       	0.2027      
1           	840         	8.55        	0.2354      	0.2674      	0.2017      
1           	841         	8.4         	0.234       	0.265       	0.2014      
1           	842         	8.65        	0.2336      	0.2636      	0.202       
1           	843         	8.5         	0.2307      	0.2599      	0.2         
1           	844         	8.35        	0.2319      	0.2592      	0.2031      
1           	845         	8.4         	0.2327      	0.2572      	0.207       
1           	846         	8.55        	0.2299      	0.2547      	0.2038      
1           	847         	8.65        	0.2298      	0.2538      	0.2047      
1           	848         	8.45        	0.2347      	0.2583      	0.2099      
1           	849         	8.55        	0.234       	0.2634      	0.2031      
1           	850         	8.7         	0.2359      	0.2623      	0.2082      
1           	851         	8.8         	0.2399      	0.264       	0.2145      
1           	852         	8.65        	0.2418      	0.266       	0.2163      
1           	853         	8.7         	0.2442      	0.2675      	0.2197      
