replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	241         	6           	0.4169      	0.4181      
1           	242         	6           	0.4152      	0.4162      
1           	243         	6           	0.4195      	0.4168      
1           	244         	6           	0.4136      	0.4103      
1           	245         	6           	0.4106      	0.4115      
1           	246         	6           	0.4147      	0.4085      
1           	247         	6           	0.411       	0.4092      
1           	248         	6           	0.4087      	0.4075      
1           	249         	6           	0.4035      	0.4058      
1           	250         	6           	0.4018      	0.4044      
1           	251         	6           	0.4004      	0.4019      
1           	252         	6           	0.4011      	0.4017      
1           	253         	6           	0.3978      	0.3982      
1           	254         	6           	0.4021      	0.4013      
1           	255         	6           	0.3989      	0.3995      
1           	256         	6           	0.3927      	0.3968      
1           	257         	6           	0.3987      	0.4009      
1           	258         	6           	0.4012      	0.4014      
1           	259         	6           	0.4042      	0.4021      
1           	260         	6           	0.3965      	0.4022      
1           	261         	6           	0.3963      	0.3995      
1           	262         	6           	0.4016      	0.4017      
1           	263         	5           	0.3993      	0.4024      
1           	264         	5           	0.3992      	0.4053      
1           	265         	5           	0.4039      	0.4054      
1           	266         	5           	0.4028      	0.4026      
1           	267         	6           	0.4056      	0.4093      
1           	268         	6           	0.415       	0.4103      
1           	269         	5           	0.4073      	0.4104      
1           	270         	4           	0.4177      	0.4117      
1           	271         	5           	0.406       	0.4103      
1           	272         	4           	0.4108      	0.4134      
1           	273         	4           	0.4205      	0.4176      
1           	274         	5           	0.418       	0.4188      
1           	275         	5           	0.4268      	0.4236      
1           	276         	5           	0.4085      	0.415       
1           	277         	6           	0.4236      	0.4199      
1           	278         	6           	0.4165      	0.4146      
1           	279         	6           	0.4165      	0.4129      
1           	280         	6           	0.4147      	0.4115      
1           	281         	6           	0.4197      	0.4208      
1           	282         	6           	0.423       	0.4228      
1           	283         	6           	0.4364      	0.4292      
1           	284         	6           	0.4241      	0.432       
1           	285         	6           	0.4281      	0.4323      
1           	286         	6           	0.4334      	0.4382      
1           	287         	6           	0.443       	0.4431      
1           	288         	6           	0.4467      	0.449       
1           	289         	6           	0.4552      	0.4501      
1           	290         	6           	0.4554      	0.4544      
1           	291         	6           	0.4635      	0.4631      
1           	292         	6           	0.4662      	0.4651      
1           	293         	6           	0.4688      	0.4663      
1           	294         	6           	0.4686      	0.4694      
1           	295         	6           	0.47        	0.4724      
1           	296         	6           	0.4677      	0.4695      
1           	297         	6           	0.4622      	0.4653      
1           	298         	6           	0.4641      	0.47        
1           	299         	6           	0.4702      	0.4698      
