replicate   	generation  	q.adlt.nbAll	q.adlt.hs   	q.meanG     	q.varG      
4           	1000        	59          	0.9623      	-3.054      	71.42       
4           	1100        	65          	0.9587      	-3.583      	64.54       
4           	1200        	54          	0.9474      	-3.986      	63.89       
4           	1300        	51          	0.9416      	-3.673      	64.97       
4           	1400        	45          	0.9391      	-2.833      	65.93       
4           	1500        	47          	0.9346      	-4.565      	61.51       
4           	1600        	38          	0.9376      	-4.428      	67.15       
4           	1700        	40          	0.9332      	-4.223      	60.73       
4           	1800        	36          	0.9375      	-5.039      	55.97       
4           	1900        	39          	0.9372      	-5.069      	61.07       
4           	2000        	33          	0.9328      	-4.699      	60.79       
4           	2100        	34          	0.9258      	-4.418      	58.34       
4           	2200        	39          	0.9262      	-6.063      	43.31       
4           	2300        	36          	0.9199      	-5.079      	49.88       
4           	2400        	29          	0.9131      	-3.115      	60.22       
4           	2500        	30          	0.9107      	-3.776      	55.23       
4           	2600        	37          	0.915       	-3.161      	57.42       
4           	2700        	35          	0.9036      	-2.477      	64.86       
4           	2800        	43          	0.9118      	-2.259      	56.2        
4           	2900        	36          	0.9157      	-1.361      	59.64       
4           	3000        	33          	0.9157      	-0.7689     	63.26       
4           	3100        	36          	0.9122      	-0.3978     	61          
4           	3200        	32          	0.9078      	0.1765      	61.17       
4           	3300        	27          	0.8993      	-0.2026     	59.08       
4           	3400        	30          	0.8785      	-0.9939     	59.38       
4           	3500        	28          	0.8773      	0.7709      	69.15       
4           	3600        	36          	0.8643      	0.06132     	68.89       
4           	3700        	30          	0.8732      	0.3913      	67.27       
4           	3800        	30          	0.8746      	-0.8453     	63.99       
4           	3900        	32          	0.8788      	-1.025      	64          
4           	4000        	33          	0.8753      	-2.384      	53.71       
4           	4100        	34          	0.8552      	-2.621      	53.01       
4           	4200        	30          	0.8612      	-3.281      	47.34       
4           	4300        	29          	0.8318      	-3.245      	46.13       
4           	4400        	26          	0.8207      	-2.934      	50.19       
4           	4500        	30          	0.8236      	-2.984      	50.05       
4           	4600        	28          	0.8122      	-3.636      	40.62       
4           	4700        	28          	0.8179      	-3.182      	39.32       
4           	4800        	30          	0.8365      	-2.997      	41.84       
4           	4900        	27          	0.8512      	-3.024      	42.52       
4           	5000        	33          	0.8487      	-2.47       	40.36       
5           	1           	255         	0.9961      	0.1519      	97.31       
5           	100         	199         	0.9915      	1.249       	88.41       
5           	200         	145         	0.9879      	1.163       	93.53       
5           	300         	108         	0.9812      	1.161       	92.13       
5           	400         	95          	0.9774      	1.073       	90.03       
5           	500         	78          	0.9745      	-0.3333     	87.25       
5           	600         	72          	0.9721      	-1.44       	90.95       
5           	700         	66          	0.9677      	-2.424      	86.79       
5           	800         	58          	0.961       	-1.572      	94.88       
5           	900         	51          	0.9625      	-1.215      	94.13       
5           	1000        	56          	0.9559      	-0.07226    	86.17       
5           	1100        	49          	0.9526      	-0.3818     	80.46       
5           	1200        	50          	0.9382      	-0.2341     	88.55       
5           	1300        	51          	0.9343      	-0.2684     	98.49       
5           	1400        	38          	0.9416      	-1.275      	94.95       
5           	1500        	41          	0.9439      	-0.8669     	93.02       
5           	1600        	37          	0.943       	-0.2229     	84.19       
5           	1700        	36          	0.9374      	-1.258      	88.67       
5           	1800        	36          	0.9259      	-0.4777     	80.89       
5           	1900        	34          	0.926       	-0.6812     	74.13       
5           	2000        	40          	0.9226      	0.08213     	70.38       
5           	2100        	39          	0.9176      	-0.1078     	79.42       
5           	2200        	43          	0.9205      	0.1109      	83.58       
5           	2300        	39          	0.9135      	-0.7863     	66.38       
5           	2400        	42          	0.9171      	-1.38       	63.82       
5           	2500        	39          	0.9136      	-1.216      	60.63       
5           	2600        	33          	0.9035      	-0.7072     	67.25       
5           	2700        	33          	0.9177      	-0.4866     	84.72       
5           	2800        	35          	0.9195      	-0.2598     	84.28       
5           	2900        	36          	0.9162      	-0.265      	90.24       
5           	3000        	31          	0.9256      	-1.679      	72.7        
5           	3100        	37          	0.9206      	-0.4559     	71.39       
5           	3200        	34          	0.9122      	-0.3482     	78.39       
5           	3300        	39          	0.9077      	-1.233      	71.24       
5           	3400        	34          	0.8803      	-1.044      	67.72       
5           	3500        	40          	0.8645      	-1.086      	57.92       
5           	3600        	35          	0.8492      	-1.403      	50.67       
5           	3700        	32          	0.8765      	-1.83       	60.8        
5           	3800        	29          	0.8992      	-2.673      	55.03       
5           	3900        	30          	0.8867      	-3.508      	56.61       
5           	4000        	36          	0.896       	-3.231      	59.6        
5           	4100        	37          	0.888       	-3.429      	74.55       
5           	4200        	31          	0.8601      	-2.814      	57.82       
5           	4300        	35          	0.8701      	-2.284      	62.25       
5           	4400        	37          	0.8843      	-2.604      	54.58       
5           	4500        	33          	0.8821      	-1.638      	52.51       
5           	4600        	28          	0.8894      	-2.461      	50.49       
5           	4700        	34          	0.8876      	-2.705      	42.32       
5           	4800        	33          	0.8901      	-1.845      	33.79       
5           	4900        	28          	0.8752      	-0.8035     	28.97       
5           	5000        	29          	0.8822      	-0.7477     	29.55       
6           	1           	255         	0.9961      	-0.1015     	97.28       
6           	100         	204         	0.9911      	-0.2805     	96.96       
6           	200         	144         	0.9855      	-1.031      	97.44       
6           	300         	116         	0.9824      	-1.87       	94.65       
6           	400         	94          	0.9776      	-1.993      	95.39       
6           	500         	79          	0.9759      	-2.993      	91.09       
6           	600         	72          	0.9718      	-2.715      	93.23       
6           	700         	66          	0.9686      	-1.65       	80.21       
6           	800         	61          	0.9638      	-1.838      	82.51       
6           	900         	59          	0.9597      	-2.975      	75.58       
6           	1000        	59          	0.962       	-1.725      	84.2        
6           	1100        	50          	0.9588      	-2.041      	78.82       
6           	1200        	54          	0.9509      	-1.72       	74.51       
6           	1300        	54          	0.9513      	0.1735      	73.13       
6           	1400        	51          	0.9482      	0.3272      	74.35       
6           	1500        	47          	0.9476      	0.9608      	72.07       
6           	1600        	46          	0.9466      	1.411       	68.92       
6           	1700        	47          	0.9447      	1.059       	68.99       
6           	1800        	49          	0.9489      	0.3835      	73.17       
6           	1900        	47          	0.9458      	0.03973     	59.7        
6           	2000        	45          	0.9447      	1.535       	59.54       
6           	2100        	43          	0.9459      	1.328       	60.38       
6           	2200        	39          	0.9256      	3.187       	57.54       
6           	2300        	37          	0.9142      	4.067       	61.33       
6           	2400        	35          	0.9034      	4.222       	60.64       
6           	2500        	29          	0.8916      	4.208       	55.92       
6           	2600        	34          	0.8915      	4.453       	58.45       
