generation  	adlt.nbInd  	q.adlt.a.freq_l1_a1	q.adlt.a.freq_l1_a2	q.adlt.a.freq_l2_a1	q.adlt.a.freq_l2_a2	alive.rpl   
331         	1000        	0.9716      	0.02843     	0.3807      	0.6193      	99          
332         	1000        	0.9719      	0.02809     	0.381       	0.619       	99          
333         	1000        	0.9716      	0.02837     	0.38        	0.62        	99          
334         	1000        	0.9717      	0.02825     	0.3788      	0.6212      	99          
335         	1000        	0.9721      	0.02789     	0.3779      	0.6221      	99          
336         	1000        	0.9718      	0.02821     	0.3789      	0.6211      	99          
337         	1000        	0.972       	0.02801     	0.3778      	0.6222      	99          
338         	1000        	0.9716      	0.02844     	0.3784      	0.6216      	99          
339         	1000        	0.9715      	0.02846     	0.38        	0.62        	99          
340         	1000        	0.9718      	0.02823     	0.3805      	0.6195      	99          
341         	1000        	0.9723      	0.0277      	0.3827      	0.6173      	99          
342         	1000        	0.9723      	0.02772     	0.3819      	0.6181      	99          
343         	1000        	0.9719      	0.02807     	0.3832      	0.6168      	99          
344         	1000        	0.9723      	0.02773     	0.3843      	0.6157      	99          
345         	1000        	0.9724      	0.02763     	0.3833      	0.6167      	99          
346         	1000        	0.9729      	0.02715     	0.3819      	0.6181      	99          
347         	1000        	0.9732      	0.02675     	0.3808      	0.6192      	99          
348         	1000        	0.973       	0.02702     	0.3786      	0.6214      	99          
349         	1000        	0.9733      	0.0267      	0.3785      	0.6215      	99          
350         	1000        	0.9728      	0.02716     	0.3775      	0.6225      	99          
351         	1000        	0.9726      	0.02739     	0.3773      	0.6227      	99          
352         	1000        	0.9727      	0.02731     	0.378       	0.622       	99          
353         	1000        	0.9727      	0.02728     	0.3779      	0.6221      	99          
354         	1000        	0.9727      	0.02725     	0.379       	0.621       	99          
355         	1000        	0.973       	0.02698     	0.38        	0.62        	99          
356         	1000        	0.9731      	0.0269      	0.3801      	0.6199      	99          
357         	1000        	0.9732      	0.02682     	0.3796      	0.6204      	99          
358         	1000        	0.9727      	0.02734     	0.3795      	0.6205      	99          
359         	1000        	0.9725      	0.02751     	0.3797      	0.6203      	99          
360         	1000        	0.9722      	0.02781     	0.3794      	0.6206      	99          
361         	1000        	0.9718      	0.0282      	0.3784      	0.6216      	99          
362         	1000        	0.972       	0.02799     	0.3786      	0.6214      	99          
363         	1000        	0.9723      	0.02772     	0.3787      	0.6213      	99          
364         	1000        	0.9725      	0.02754     	0.3773      	0.6227      	99          
365         	1000        	0.9728      	0.02717     	0.3763      	0.6237      	99          
366         	1000        	0.9729      	0.02712     	0.3771      	0.6229      	99          
367         	1000        	0.9729      	0.02713     	0.3777      	0.6223      	99          
368         	1000        	0.973       	0.02697     	0.3793      	0.6207      	99          
369         	1000        	0.9732      	0.0268      	0.3791      	0.6209      	99          
370         	1000        	0.9735      	0.02651     	0.3807      	0.6193      	99          
371         	1000        	0.9728      	0.02724     	0.382       	0.618       	99          
372         	1000        	0.9728      	0.02721     	0.3828      	0.6172      	99          
373         	1000        	0.973       	0.02702     	0.3828      	0.6172      	99          
374         	1000        	0.9731      	0.02688     	0.3824      	0.6176      	99          
375         	1000        	0.9734      	0.0266      	0.3831      	0.6169      	99          
376         	1000        	0.9735      	0.02649     	0.3824      	0.6176      	99          
377         	1000        	0.9737      	0.0263      	0.3798      	0.6202      	99          
378         	1000        	0.9735      	0.02646     	0.379       	0.621       	99          
379         	1000        	0.9739      	0.02615     	0.3803      	0.6197      	99          
380         	1000        	0.974       	0.02604     	0.3802      	0.6198      	99          
381         	1000        	0.9739      	0.0261      	0.379       	0.621       	99          
382         	1000        	0.9744      	0.02562     	0.3795      	0.6205      	99          
383         	1000        	0.974       	0.02601     	0.3798      	0.6202      	99          
