replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	384         	9.95        	0.02185     	0.02366     	0.02001     
1           	385         	9.95        	0.02252     	0.0255      	0.01949     
1           	386         	10          	0.02255     	0.0248      	0.02025     
1           	387         	10          	0.02311     	0.02433     	0.02186     
1           	388         	10          	0.02219     	0.02345     	0.02091     
1           	389         	10          	0.02274     	0.02358     	0.02188     
1           	390         	10          	0.02201     	0.02262     	0.0214      
1           	391         	10          	0.02128     	0.02147     	0.0211      
1           	392         	10          	0.02111     	0.02038     	0.02185     
1           	393         	10          	0.02029     	0.0196      	0.02099     
1           	394         	10          	0.02033     	0.01929     	0.02137     
1           	395         	10          	0.02011     	0.01853     	0.02171     
1           	396         	10          	0.01917     	0.01752     	0.02085     
1           	397         	10          	0.01904     	0.01841     	0.01969     
1           	398         	10          	0.01914     	0.01899     	0.0193      
1           	399         	10          	0.01843     	0.01832     	0.01854     
1           	400         	10          	0.01794     	0.01781     	0.01808     
1           	401         	10          	0.01785     	0.01789     	0.01781     
1           	402         	10          	0.0179      	0.01859     	0.0172      
1           	403         	9.95        	0.01766     	0.01851     	0.0168      
1           	404         	10          	0.01751     	0.0191      	0.0159      
1           	405         	10          	0.0178      	0.0192      	0.01638     
1           	406         	10          	0.01835     	0.01945     	0.01722     
1           	407         	10          	0.01809     	0.01917     	0.017       
1           	408         	10          	0.01813     	0.01964     	0.0166      
1           	409         	10          	0.01849     	0.01965     	0.01731     
1           	410         	10          	0.01837     	0.01977     	0.01694     
1           	411         	10          	0.01813     	0.02038     	0.01585     
1           	412         	10          	0.01846     	0.02047     	0.01643     
1           	413         	10          	0.01941     	0.02167     	0.01712     
1           	414         	9.95        	0.01956     	0.02173     	0.01737     
1           	415         	10          	0.01913     	0.02208     	0.01613     
1           	416         	10          	0.01912     	0.02284     	0.01536     
1           	417         	10          	0.01887     	0.02249     	0.01522     
1           	418         	9.95        	0.01956     	0.02211     	0.01698     
1           	419         	9.95        	0.02065     	0.02318     	0.01808     
1           	420         	9.95        	0.01944     	0.02059     	0.01827     
1           	421         	9.95        	0.01941     	0.02008     	0.01874     
1           	422         	9.95        	0.01973     	0.02032     	0.01913     
1           	423         	9.95        	0.02023     	0.02003     	0.02042     
1           	424         	9.95        	0.01949     	0.01927     	0.01971     
1           	425         	9.95        	0.01995     	0.01938     	0.02053     
1           	426         	9.95        	0.02035     	0.0198      	0.02091     
1           	427         	9.95        	0.02054     	0.01981     	0.02128     
1           	428         	9.95        	0.02011     	0.01989     	0.02032     
1           	429         	10          	0.02018     	0.02031     	0.02005     
1           	430         	10          	0.01947     	0.01939     	0.01954     
1           	431         	10          	0.01923     	0.01982     	0.01863     
1           	432         	10          	0.01966     	0.02029     	0.01903     
1           	433         	10          	0.0187      	0.01919     	0.0182      
1           	434         	10          	0.01992     	0.01964     	0.02021     
1           	435         	10          	0.01931     	0.01948     	0.01915     
1           	436         	10          	0.01967     	0.01983     	0.0195      
1           	437         	10          	0.01998     	0.02085     	0.0191      
1           	438         	10          	0.02057     	0.02147     	0.01966     
1           	439         	10          	0.02115     	0.02293     	0.01935     
1           	440         	10          	0.0206      	0.0218      	0.01939     
1           	441         	10          	0.02056     	0.02125     	0.01987     
1           	442         	10          	0.0203      	0.02134     	0.01926     
1           	443         	10          	0.02003     	0.02158     	0.01846     
1           	444         	10          	0.01976     	0.02045     	0.01906     
