replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	891         	11          	0.6675      	0.6692      
1           	892         	11          	0.6757      	0.6768      
1           	893         	11          	0.6745      	0.6771      
1           	894         	11          	0.6751      	0.6749      
1           	895         	11          	0.673       	0.6735      
1           	896         	11          	0.6697      	0.6691      
1           	897         	11          	0.6739      	0.6691      
1           	898         	11          	0.666       	0.6718      
1           	899         	11          	0.6673      	0.6676      
1           	900         	11          	0.6716      	0.6725      
1           	901         	11          	0.6679      	0.6729      
1           	902         	11          	0.6723      	0.6725      
1           	903         	11          	0.6704      	0.6732      
1           	904         	11          	0.6798      	0.6773      
1           	905         	11          	0.6759      	0.6765      
1           	906         	11          	0.6775      	0.6797      
1           	907         	11          	0.6759      	0.6765      
1           	908         	11          	0.672       	0.6768      
1           	909         	11          	0.6727      	0.6752      
1           	910         	11          	0.6739      	0.6729      
1           	911         	11          	0.6693      	0.6685      
1           	912         	11          	0.6726      	0.6746      
1           	913         	11          	0.669       	0.6711      
1           	914         	11          	0.6746      	0.6751      
1           	915         	11          	0.6707      	0.6734      
1           	916         	11          	0.6722      	0.672       
1           	917         	11          	0.6688      	0.6723      
1           	918         	11          	0.6827      	0.6765      
1           	919         	11          	0.6853      	0.6789      
1           	920         	11          	0.6788      	0.6774      
1           	921         	11          	0.6762      	0.6761      
1           	922         	11          	0.6763      	0.6749      
1           	923         	11          	0.6772      	0.6781      
1           	924         	11          	0.673       	0.6764      
1           	925         	11          	0.6815      	0.6786      
1           	926         	11          	0.6781      	0.6783      
1           	927         	11          	0.6775      	0.679       
1           	928         	11          	0.6823      	0.6797      
1           	929         	11          	0.6759      	0.6778      
1           	930         	11          	0.6754      	0.6744      
1           	931         	11          	0.6734      	0.671       
1           	932         	11          	0.6796      	0.6757      
1           	933         	11          	0.681       	0.6777      
1           	934         	11          	0.6796      	0.679       
1           	935         	11          	0.675       	0.6781      
1           	936         	11          	0.6824      	0.679       
1           	937         	11          	0.6828      	0.6822      
1           	938         	11          	0.6767      	0.6803      
1           	939         	11          	0.6776      	0.6786      
1           	940         	11          	0.679       	0.6754      
1           	941         	11          	0.6747      	0.6767      
1           	942         	11          	0.6766      	0.6755      
