generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
127         	0.7822      	3.662e+05   	0.463       	5.374e+04   	4.674e+04   	3.975e+04   	2.953e+04   	1.773e+04   	1.467e+04   	15          
128         	0.8267      	3.897e+05   	0.6446      	5.389e+04   	5.03e+04    	3.821e+04   	3.648e+04   	1.483e+04   	1.478e+04   	15          
129         	0.56        	3.636e+05   	0.2915      	5.429e+04   	4.97e+04    	3.613e+04   	3.956e+04   	1.159e+04   	2.738e+04   	15          
130         	0.96        	3.128e+05   	0.2847      	5.426e+04   	4.909e+04   	3.47e+04    	3.727e+04   	2.088e+04   	2.728e+04   	15          
131         	0.96        	3.299e+05   	0.3565      	5.359e+04   	4.932e+04   	3.216e+04   	3.43e+04    	1.891e+04   	2.717e+04   	15          
132         	0.6222      	3.139e+05   	0.4564      	5.386e+04   	4.922e+04   	2.991e+04   	3.173e+04   	1.702e+04   	2.699e+04   	15          
133         	1.156       	3.61e+05    	0.3593      	5.47e+04    	4.996e+04   	2.79e+04    	3.778e+04   	1.519e+04   	2.662e+04   	15          
134         	0.7556      	3.49e+05    	0.5484      	5.5e+04     	4.909e+04   	2.516e+04   	3.616e+04   	1.401e+04   	2.635e+04   	15          
135         	1.173       	3.404e+05   	0.4437      	5.543e+04   	4.866e+04   	2.241e+04   	3.487e+04   	1.3e+04     	2.548e+04   	15          
136         	0.5067      	3.314e+05   	0.2847      	5.457e+04   	4.815e+04   	1.988e+04   	3.323e+04   	1.175e+04   	2.439e+04   	15          
137         	1.396       	3.504e+05   	0.2636      	5.395e+04   	4.638e+04   	1.76e+04    	3.98e+04    	1.046e+04   	2.248e+04   	15          
138         	1.582       	3.841e+05   	0.5297      	5.375e+04   	4.448e+04   	2.728e+04   	3.866e+04   	2.191e+04   	3.183e+04   	15          
139         	0.5956      	3.866e+05   	0.1983      	5.437e+04   	4.231e+04   	2.629e+04   	3.749e+04   	2.001e+04   	3.892e+04   	15          
140         	0.8267      	3.805e+05   	0.7184      	5.402e+04   	4.622e+04   	2.576e+04   	3.634e+04   	2.934e+04   	3.678e+04   	15          
141         	1.182       	3.832e+05   	0.287       	5.474e+04   	4.506e+04   	2.573e+04   	3.393e+04   	3.694e+04   	3.437e+04   	15          
142         	0.8267      	3.559e+05   	0.2857      	5.564e+04   	4.852e+04   	2.566e+04   	3.254e+04   	3.649e+04   	3.162e+04   	15          
143         	0.64        	3.293e+05   	0.7243      	5.61e+04    	4.851e+04   	2.499e+04   	3.937e+04   	3.443e+04   	2.924e+04   	15          
144         	0.96        	2.931e+05   	0.454       	5.677e+04   	5.134e+04   	2.457e+04   	3.663e+04   	3.344e+04   	2.63e+04    	15          
145         	1.129       	2.827e+05   	0.3439      	5.702e+04   	5.216e+04   	2.358e+04   	3.4e+04     	3.245e+04   	2.377e+04   	15          
146         	1.129       	2.899e+05   	0.2852      	5.767e+04   	5.64e+04    	2.238e+04   	3.202e+04   	3.047e+04   	2.125e+04   	15          
147         	1.262       	2.774e+05   	0.5902      	5.823e+04   	5.541e+04   	2.094e+04   	3.043e+04   	2.781e+04   	1.827e+04   	15          
148         	1.262       	2.642e+05   	0.1754      	5.762e+04   	5.481e+04   	1.929e+04   	2.843e+04   	2.538e+04   	1.496e+04   	15          
149         	1.227       	2.837e+05   	0.3579      	5.743e+04   	5.356e+04   	1.787e+04   	3.621e+04   	2.256e+04   	1.156e+04   	15          
150         	1.396       	2.757e+05   	0.289       	5.64e+04    	5.289e+04   	1.65e+04    	3.593e+04   	1.895e+04   	8578        	15          
151         	1.449       	3.778e+05   	0.4133      	5.591e+04   	5.087e+04   	2.742e+04   	3.516e+04   	2.689e+04   	5859        	15          
152         	1.716       	3.646e+05   	0.4749      	5.635e+04   	5.113e+04   	2.694e+04   	3.418e+04   	2.409e+04   	3570        	15          
153         	1.627       	3.904e+05   	0.5482      	5.733e+04   	4.904e+04   	3.648e+04   	3.344e+04   	2.113e+04   	1926        	15          
154         	1.796       	3.97e+05    	0.9377      	5.655e+04   	4.913e+04   	3.673e+04   	3.215e+04   	1.917e+04   	933         	15          
155         	2.116       	4.345e+05   	0.4945      	5.65e+04    	4.91e+04    	4.444e+04   	3.038e+04   	1.754e+04   	1.477e+04   	15          
156         	1.582       	3.744e+05   	0.9182      	5.097e+04   	4.827e+04   	4.403e+04   	2.832e+04   	1.619e+04   	1.475e+04   	15          
157         	1.662       	3.813e+05   	0.7928      	5.185e+04   	4.83e+04    	4.365e+04   	2.516e+04   	1.546e+04   	1.445e+04   	15          
158         	1.733       	3.994e+05   	0.587       	5.264e+04   	4.908e+04   	4.181e+04   	2.238e+04   	1.48e+04    	1.441e+04   	15          
159         	1.796       	4.044e+05   	0.898       	5.193e+04   	4.976e+04   	4.09e+04    	1.97e+04    	1.452e+04   	1.444e+04   	15          
160         	1.6         	3.794e+05   	0.4823      	5.142e+04   	5.038e+04   	3.983e+04   	2.826e+04   	1.444e+04   	1.426e+04   	15          
161         	1.867       	3.827e+05   	0.4876      	5.163e+04   	5.028e+04   	3.88e+04    	2.73e+04    	1.437e+04   	1.377e+04   	15          
162         	1.573       	3.539e+05   	1.046       	5.159e+04   	4.99e+04    	4.527e+04   	2.654e+04   	1.436e+04   	1.326e+04   	15          
163         	1.6         	3.573e+05   	0.5973      	5.133e+04   	5.006e+04   	4.508e+04   	2.629e+04   	1.456e+04   	1.242e+04   	15          
164         	1.76        	3.507e+05   	0.561       	5.182e+04   	5.393e+04   	4.498e+04   	2.61e+04    	1.462e+04   	1.125e+04   	15          
165         	1.582       	3.186e+05   	0.7518      	5.221e+04   	5.385e+04   	4.42e+04    	2.613e+04   	1.462e+04   	2.286e+04   	15          
166         	1.716       	3.177e+05   	0.4927      	4.619e+04   	5.474e+04   	4.368e+04   	2.557e+04   	1.481e+04   	2.1e+04     	15          
167         	1.76        	3.134e+05   	0.447       	4.603e+04   	5.533e+04   	4.272e+04   	3.509e+04   	1.484e+04   	1.965e+04   	15          
168         	1.662       	3.043e+05   	0.4684      	4.606e+04   	5.48e+04    	4.157e+04   	3.403e+04   	1.463e+04   	1.819e+04   	15          
