generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
128         	5.2         	2161        	1.922       	235.5       	304.6       	364.7       	371.7       	430.3       	454.3       	15          
129         	5.2         	2142        	1.419       	240.6       	307.5       	368.6       	367.8       	436.2       	421.3       	15          
130         	5.2         	2137        	1.78        	244.4       	309.5       	375.3       	372.7       	410.9       	423.8       	15          
131         	5.2         	2128        	1.82        	215.7       	314         	378.5       	376.3       	420.1       	423.4       	15          
132         	5.333       	2156        	2.039       	219.2       	316.4       	383.3       	383.9       	428.2       	425.1       	15          
133         	5.333       	2153        	1.628       	223.6       	321.5       	391.8       	358.2       	433.8       	423.7       	15          
134         	5.333       	2180        	1.636       	226.7       	322.3       	400         	365.1       	440.4       	426         	15          
135         	5.4         	2207        	1.623       	230.5       	325.9       	407.8       	371.9       	445.9       	425.2       	15          
136         	5.4         	2235        	1.939       	232.3       	330.9       	416.7       	377.6       	449.2       	428.4       	15          
137         	5.267       	2222        	1.758       	234.8       	333.4       	423.3       	350.2       	451.9       	428.5       	15          
138         	5.133       	2156        	2.091       	238.1       	337.4       	399.1       	356.3       	425.3       	399.3       	15          
139         	5.267       	2155        	2.114       	242.9       	342.7       	405.8       	364         	428.4       	370.9       	15          
140         	5.2         	2118        	1.657       	245         	317.1       	408.8       	371.4       	399.2       	376.5       	15          
141         	5.133       	2113        	1.743       	248         	324.7       	413.8       	374.3       	371.1       	381.5       	15          
142         	5.2         	2114        	1.536       	251.3       	298.4       	417.9       	382.5       	377.1       	386.3       	15          
143         	5.4         	2105        	2.052       	252.9       	305.2       	418.2       	358         	377.5       	393.4       	15          
144         	5.2         	2095        	1.427       	254.5       	276.7       	422.3       	362         	381.7       	398.1       	15          
145         	5.267       	2123        	1.663       	255.4       	282.5       	423.4       	366.7       	389         	406.3       	15          
146         	5.267       	2127        	1.72        	257.1       	258.9       	425.1       	375.8       	394.3       	415.7       	15          
147         	5.067       	2152        	1.89        	257.9       	260.5       	427.1       	385.3       	396.3       	424.9       	15          
148         	5.067       	2176        	1.794       	256.5       	263.7       	428.7       	391         	404.4       	431.3       	15          
149         	5.2         	2174        	1.797       	256.1       	267.7       	432.5       	366.7       	412.2       	438.9       	15          
150         	5.267       	2205        	1.82        	254.5       	273.4       	435.5       	374.7       	416.1       	450.5       	15          
151         	5.133       	2172        	1.96        	253.6       	277.9       	408         	379.7       	394.1       	458.9       	15          
152         	5.133       	2170        	1.666       	255         	253.1       	411.9       	382.8       	401.4       	465.3       	15          
153         	5.2         	2133        	1.641       	257.9       	226.5       	381.6       	387.5       	407.5       	472.1       	15          
154         	5.067       	2163        	2.014       	256.8       	235.9       	385.7       	391.4       	416.8       	476.3       	15          
155         	4.867       	2094        	1.851       	225.7       	246         	354         	395.2       	425.3       	448.1       	15          
156         	4.867       	2058        	1.771       	163.7       	253.3       	355.7       	401.6       	431.3       	452.3       	15          
157         	4.733       	2075        	2.019       	161         	262.1       	358         	404.1       	438.5       	451.1       	15          
158         	5           	2092        	1.6         	162.5       	270.7       	356.7       	410.2       	441.3       	450.6       	15          
159         	4.933       	2111        	1.914       	161.5       	278.7       	359.2       	415.2       	444.4       	452.1       	15          
160         	5           	2103        	2.016       	160.7       	287         	363.5       	390.2       	446.7       	455.1       	15          
161         	5           	2123        	1.808       	161.1       	292.5       	366.8       	398.3       	447.1       	456.7       	15          
162         	4.6         	2107        	2.006       	160.6       	297.5       	338.8       	403.7       	447.4       	458.9       	15          
163         	5           	2125        	1.618       	160.4       	303.4       	343.8       	408.1       	450.5       	458.3       	15          
164         	4.8         	2108        	1.811       	161.3       	276.7       	348.6       	411.9       	451.3       	458.2       	15          
165         	4.867       	2089        	1.59        	162.1       	279.8       	350.3       	417         	451.9       	427.4       	15          
166         	4.867       	2070        	1.83        	129.9       	284.1       	353.5       	419.6       	454.8       	428.5       	15          
167         	4.8         	2048        	1.769       	129.7       	286.9       	354.9       	387.9       	455.4       	433         	15          
168         	4.933       	2054        	1.98        	129.9       	286.5       	357.7       	388.4       	452.1       	439.1       	15          
169         	4.933       	2066        	1.551       	130.7       	287.9       	361.1       	390.3       	454.1       	441.7       	15          
170         	4.733       	2046        	1.982       	130.9       	288.2       	365.2       	395.3       	419.5       	446.6       	15          
171         	4.733       	2056        	1.979       	130.2       	288.9       	372.5       	395.2       	419.5       	449.4       	15          
172         	4.867       	2066        	1.837       	127.4       	289.7       	378.6       	400.2       	419.4       	450.4       	15          
173         	4.733       	2036        	1.737       	128.9       	290.5       	372.6       	401.5       	420.5       	422.3       	15          
174         	5           	2049        	2.042       	130.8       	290.9       	376.5       	407.4       	419.1       	424.5       	15          
175         	4.8         	2060        	1.564       	132.2       	290.3       	378.7       	411.9       	422.6       	424.5       	15          
176         	4.8         	2043        	1.949       	134         	291.1       	381.7       	383.8       	423.1       	429.8       	15          
177         	4.733       	2020        	1.767       	136.3       	285.1       	353.4       	386.1       	426.5       	432.1       	15          
178         	4.733       	2000        	1.596       	137.2       	286.3       	354.6       	358.2       	427.1       	436.3       	15          
179         	4.8         	1955        	1.526       	141.9       	286.5       	293.7       	361.1       	429.8       	441.9       	15          
180         	4.733       	1941        	1.73        	147.1       	288.4       	296.3       	330         	432         	447         	15          
181         	4.867       	1958        	1.694       	151.6       	288         	301         	333.9       	432.4       	451.5       	15          
182         	5           	1949        	1.549       	157.8       	256.8       	305.1       	337.7       	434.8       	456.5       	15          
183         	4.667       	1907        	1.538       	163.7       	224.9       	310.1       	341.3       	440.7       	426.6       	15          
184         	4.533       	1858        	1.5         	167.4       	225.6       	316.1       	344.1       	411.3       	393.5       	15          
185         	4.733       	1853        	1.637       	173.3       	226.2       	320.7       	321.9       	411.9       	398.7       	15          
186         	4.6         	1856        	1.794       	180         	228.5       	300.7       	328         	416.1       	402.9       	15          
187         	4.533       	1846        	1.864       	184.5       	231.3       	306.1       	335         	418.7       	370.6       	15          
188         	4.667       	1873        	1.759       	189.3       	234.3       	311.1       	343.1       	419         	375.9       	15          
189         	4.667       	1896        	1.869       	193.3       	234.1       	315.9       	351         	420.9       	381         	15          
190         	4.667       	1920        	1.99        	198.1       	235.5       	322.1       	360.5       	422.3       	381.9       	15          
191         	5           	1952        	1.761       	201.4       	241.7       	331.1       	369.1       	423.7       	385.3       	15          
