replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1467        	9           	0.7338      	0.7288      
1           	1468        	9           	0.7323      	0.73        
1           	1469        	9           	0.7303      	0.7296      
1           	1470        	9           	0.7256      	0.7255      
1           	1471        	9           	0.7261      	0.7266      
1           	1472        	9           	0.7349      	0.7312      
1           	1473        	9           	0.7314      	0.7304      
1           	1474        	9           	0.727       	0.7271      
1           	1475        	9           	0.7197      	0.7254      
1           	1476        	9           	0.7168      	0.727       
1           	1477        	9           	0.7308      	0.7265      
1           	1478        	9           	0.7231      	0.726       
1           	1479        	9           	0.7241      	0.7266      
1           	1480        	9           	0.712       	0.7227      
1           	1481        	9           	0.7151      	0.7206      
1           	1482        	9           	0.719       	0.7227      
1           	1483        	9           	0.7189      	0.7225      
1           	1484        	9           	0.7279      	0.7228      
1           	1485        	9           	0.7188      	0.7201      
1           	1486        	9           	0.7296      	0.723       
1           	1487        	9           	0.7185      	0.724       
1           	1488        	9           	0.7253      	0.7205      
1           	1489        	9           	0.7211      	0.7217      
1           	1490        	9           	0.7235      	0.7212      
1           	1491        	9           	0.7307      	0.7208      
1           	1492        	9           	0.717       	0.7179      
1           	1493        	9           	0.7148      	0.7226      
1           	1494        	9           	0.7223      	0.7186      
1           	1495        	9           	0.7178      	0.7169      
1           	1496        	9           	0.7191      	0.7179      
1           	1497        	9           	0.7242      	0.7189      
1           	1498        	9           	0.7243      	0.721       
1           	1499        	9           	0.7095      	0.7158      
1           	1500        	10          	0.7249      	0.718       
1           	1501        	9           	0.7103      	0.7131      
1           	1502        	9           	0.7191      	0.718       
1           	1503        	9           	0.7253      	0.7165      
1           	1504        	8           	0.7183      	0.7223      
1           	1505        	9           	0.7255      	0.7216      
1           	1506        	9           	0.7247      	0.7217      
1           	1507        	9           	0.7258      	0.7245      
1           	1508        	9           	0.724       	0.7252      
1           	1509        	9           	0.7226      	0.7273      
1           	1510        	9           	0.73        	0.7266      
1           	1511        	9           	0.7186      	0.7235      
1           	1512        	9           	0.7238      	0.7248      
1           	1513        	9           	0.7227      	0.7243      
1           	1514        	9           	0.7254      	0.7219      
1           	1515        	9           	0.7242      	0.7219      
1           	1516        	9           	0.72        	0.7203      
1           	1517        	9           	0.7106      	0.7176      
1           	1518        	9           	0.7194      	0.722       
1           	1519        	9           	0.7171      	0.7205      
1           	1520        	9           	0.7253      	0.7225      
1           	1521        	9           	0.724       	0.7228      
1           	1522        	9           	0.7239      	0.7262      
1           	1523        	9           	0.7291      	0.73        
1           	1524        	9           	0.7228      	0.7308      
1           	1525        	9           	0.7338      	0.7315      
1           	1526        	9           	0.7325      	0.7308      
1           	1527        	9           	0.7248      	0.7298      
1           	1528        	10          	0.7301      	0.7287      
1           	1529        	9           	0.7232      	0.7254      
1           	1530        	9           	0.7216      	0.7291      
1           	1531        	9           	0.7302      	0.726       
1           	1532        	9           	0.7252      	0.7273      
1           	1533        	9           	0.7317      	0.7308      
1           	1534        	9           	0.7327      	0.7292      
1           	1535        	9           	0.7344      	0.7294      
1           	1536        	9           	0.7294      	0.7271      
1           	1537        	9           	0.729       	0.7258      
1           	1538        	9           	0.7297      	0.7271      
1           	1539        	9           	0.7295      	0.728       
1           	1540        	9           	0.7225      	0.7288      
1           	1541        	9           	0.7239      	0.7251      
1           	1542        	9           	0.7295      	0.7272      
1           	1543        	9           	0.724       	0.7274      
